,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500620-012-1,21500620-012,dribble-hand-off,FALSE,1,10:23,7.11,202699,Tobias Harris,203901,Elfrid Payton,
1,21500620-013-1,21500620-013,dribble-hand-off,FALSE,1,10:01,18.92,202699,Tobias Harris,203901,Elfrid Payton,
2,21500620-041-1,21500620-041,dribble-hand-off,FALSE,1,7:23,14.26,203901,Elfrid Payton,101112,Channing Frye,
3,21500620-063-1,21500620-063,dribble-hand-off,FALSE,1,5:35,10.73,201952,Jeff Teague,200794,Paul Millsap,
4,21500620-100-1,21500620-100,dribble-hand-off,FALSE,1,2:00,16.19,203901,Elfrid Payton,1626209,Mario Hezonja,
5,21500620-103-1,21500620-103,dribble-hand-off,FALSE,1,1:19,15.35,203901,Elfrid Payton,202696,Nikola Vucevic,
6,21500620-106-1,21500620-106,dribble-hand-off,FALSE,1,0:56,13.29,202696,Nikola Vucevic,203901,Elfrid Payton,loose ball
7,21500620-106-2,21500620-106,dribble-hand-off,FALSE,1,0:55,12.7,203901,Elfrid Payton,203932,Aaron Gordon,loose ball
8,21500620-128-1,21500620-128,dribble-hand-off,FALSE,2,11:27,19.24,203145,Kent Bazemore,201143,Al Horford,
9,21500620-128-2,21500620-128,dribble-hand-off,TRUE,2,11:27,18.52,201143,Al Horford,203471,Dennis Schroder,
10,21500620-142-1,21500620-142,dribble-hand-off,TRUE,2,9:01,16.87,201143,Al Horford,203471,Dennis Schroder,
11,21500620-142-2,21500620-142,dribble-hand-off,FALSE,2,8:58,14.88,203118,Mike Scott,200757,Thabo Sefolosha,
12,21500620-157-1,21500620-157,dribble-hand-off,FALSE,2,8:12,11.01,203118,Mike Scott,201143,Al Horford,
13,21500620-191-1,21500620-191,dribble-hand-off,FALSE,2,5:10,18.7,203901,Elfrid Payton,203932,Aaron Gordon,
14,21500620-191-2,21500620-191,dribble-hand-off,FALSE,2,5:03,12.58,203901,Elfrid Payton,202696,Nikola Vucevic,
15,21500620-204-1,21500620-204,dribble-hand-off,TRUE,2,3:57,13.46,203901,Elfrid Payton,202699,Tobias Harris,
16,21500620-206-1,21500620-206,dribble-hand-off,FALSE,2,3:46,19.63,201952,Jeff Teague,200794,Paul Millsap,
17,21500620-206-2,21500620-206,dribble-hand-off,FALSE,2,3:39,12.36,201168,Tiago Splitter,200757,Thabo Sefolosha,
18,21500620-206-3,21500620-206,dribble-hand-off,TRUE,2,3:34,7.32,201168,Tiago Splitter,2594,Kyle Korver,
19,21500620-209-1,21500620-209,dribble-hand-off,FALSE,2,3:25,19.39,202699,Tobias Harris,203901,Elfrid Payton,
20,21500620-209-2,21500620-209,dribble-hand-off,FALSE,2,3:21,15.55,203901,Elfrid Payton,203095,Evan Fournier,
21,21500620-224-1,21500620-224,dribble-hand-off,FALSE,2,1:44,18.29,201143,Al Horford,2594,Kyle Korver,
22,21500620-224-2,21500620-224,dribble-hand-off,FALSE,2,1:42,16.63,2594,Kyle Korver,201143,Al Horford,
23,21500620-262-1,21500620-262,dribble-hand-off,TRUE,3,11:07,24,200794,Paul Millsap,203145,Kent Bazemore,
