,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500108-002-1,21500108-002,dribble-hand-off,FALSE,1,11:46,10.71,2548,Dwyane Wade,202355,Hassan Whiteside,
1,21500108-002-2,21500108-002,dribble-hand-off,FALSE,1,11:45,9.27,202355,Hassan Whiteside,2548,Dwyane Wade,
2,21500108-003-1,21500108-003,dribble-hand-off,TRUE,1,11:24,10.58,201579,Roy Hibbert,1626156,D'Angelo Russell,
3,21500108-004-1,21500108-004,dribble-hand-off,FALSE,1,11:15,24,201609,Goran Dragic,2548,Dwyane Wade,
4,21500108-004-2,21500108-004,dribble-hand-off,FALSE,1,11:14,24,2548,Dwyane Wade,201609,Goran Dragic,
5,21500108-004-3,21500108-004,dribble-hand-off,TRUE,1,11:11,24,202355,Hassan Whiteside,201609,Goran Dragic,
6,21500108-004-4,21500108-004,dribble-hand-off,FALSE,1,11:07,24,201609,Goran Dragic,2547,Chris Bosh,
7,21500108-005-1,21500108-005,dribble-hand-off,FALSE,1,10:51,16.09,1626156,D'Angelo Russell,201579,Roy Hibbert,
8,21500108-010-1,21500108-010,dribble-hand-off,FALSE,1,10:11,20.54,2736,Luol Deng,2548,Dwyane Wade,
9,21500108-010-2,21500108-010,dribble-hand-off,FALSE,1,10:10,19.73,2548,Dwyane Wade,2736,Luol Deng,
10,21500108-021-1,21500108-021,dribble-hand-off,FALSE,1,9:25,24,201609,Goran Dragic,202355,Hassan Whiteside,
11,21500108-022-1,21500108-022,dribble-hand-off,FALSE,1,9:08,16.9,1626156,D'Angelo Russell,203944,Julius Randle,
12,21500108-037-1,21500108-037,dribble-hand-off,FALSE,1,7:56,17.16,201609,Goran Dragic,2547,Chris Bosh,
13,21500108-039-1,21500108-039,dribble-hand-off,FALSE,1,7:51,20.8,203944,Julius Randle,203903,Jordan Clarkson,
14,21500108-058-1,21500108-058,dribble-hand-off,FALSE,1,6:42,20.29,201609,Goran Dragic,202355,Hassan Whiteside,
15,21500108-058-2,21500108-058,dribble-hand-off,FALSE,1,6:42,20.17,202355,Hassan Whiteside,201609,Goran Dragic,
16,21500108-060-1,21500108-060,dribble-hand-off,FALSE,1,6:23,14.57,1897,Metta World Peace,203944,Julius Randle,
17,21500108-060-2,21500108-060,dribble-hand-off,FALSE,1,6:21,12.71,203944,Julius Randle,1897,Metta World Peace,
18,21500108-060-3,21500108-060,dribble-hand-off,FALSE,1,6:20,11.89,1897,Metta World Peace,1626156,D'Angelo Russell,
19,21500108-082-1,21500108-082,dribble-hand-off,FALSE,1,4:55,16.28,203903,Jordan Clarkson,101150,Lou Williams,
20,21500108-088-1,21500108-088,dribble-hand-off,FALSE,1,3:34,18.6,203903,Jordan Clarkson,204028,Tarik Black,
21,21500108-088-2,21500108-088,dribble-hand-off,FALSE,1,3:33,17.78,204028,Tarik Black,203903,Jordan Clarkson,
22,21500108-097-1,21500108-097,dribble-hand-off,FALSE,1,3:10,16.98,204020,Tyler Johnson,2547,Chris Bosh,
23,21500108-111-1,21500108-111,dribble-hand-off,FALSE,1,2:24,11.63,1626196,Josh Richardson,204020,Tyler Johnson,
24,21500108-113-1,21500108-113,dribble-hand-off,FALSE,1,1:49,19.34,204020,Tyler Johnson,201177,Josh McRoberts,
25,21500108-119-1,21500108-119,dribble-hand-off,FALSE,1,0:32,13.96,204020,Tyler Johnson,201177,Josh McRoberts,
26,21500108-124-1,21500108-124,dribble-hand-off,TRUE,1,0:13,12.79,203903,Jordan Clarkson,101150,Lou Williams,
