,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500502-002-1,21500502-002,dribble-hand-off,FALSE,1,10:59,7,2730,Dwight Howard,203991,Clint Capela,
1,21500502-002-2,21500502-002,dribble-hand-off,FALSE,1,10:56,4.65,201976,Patrick Beverley,2730,Dwight Howard,
2,21500502-002-3,21500502-002,dribble-hand-off,FALSE,1,10:55,4.29,2730,Dwight Howard,201935,James Harden,pass over head
3,21500502-033-1,21500502-033,dribble-hand-off,FALSE,1,8:04,8.77,202695,Kawhi Leonard,200746,LaMarcus Aldridge,pick n' pop
4,21500502-037-1,21500502-037,dribble-hand-off,TRUE,1,7:35,10.9,1495,Tim Duncan,2225,Tony Parker,long pass
5,21500502-047-1,21500502-047,dribble-hand-off,FALSE,1,6:03,18.09,201935,James Harden,201976,Patrick Beverley,
6,21500502-050-1,21500502-050,dribble-hand-off,FALSE,1,5:49,5.85,201935,James Harden,2730,Dwight Howard,pass over head
7,21500502-078-1,21500502-078,dribble-hand-off,TRUE,1,3:46,16.73,200746,LaMarcus Aldridge,1938,Manu Ginobili,borderline
8,21500502-081-1,21500502-081,dribble-hand-off,FALSE,1,2:31,17.75,201951,Ty Lawson,2730,Dwight Howard,
9,21500502-084-1,21500502-084,dribble-hand-off,TRUE,1,2:27,14.47,2730,Dwight Howard,203093,Terrence Jones,
10,21500502-084-2,21500502-084,dribble-hand-off,TRUE,1,2:24,12.17,203093,Terrence Jones,201951,Ty Lawson,pass deflected
11,21500502-084-3,21500502-084,dribble-hand-off,FALSE,1,2:19,7.15,201951,Ty Lawson,203093,Terrence Jones,bail out of shot
12,21500502-084-4,21500502-084,dribble-hand-off,FALSE,1,2:18,6.42,203093,Terrence Jones,201951,Ty Lawson,
13,21500502-095-1,21500502-095,dribble-hand-off,FALSE,1,1:29,6.13,203613,Jonathon Simmons,200746,LaMarcus Aldridge,bad pass
14,21500502-097-1,21500502-097,dribble-hand-off,FALSE,1,1:09,8.58,203613,Jonathon Simmons,201988,Patty Mills,
15,21500502-099-1,21500502-099,dribble-hand-off,FALSE,1,1:00,20.1,201951,Ty Lawson,203093,Terrence Jones,
16,21500502-175-1,21500502-175,dribble-hand-off,TRUE,2,8:22,19.06,201951,Ty Lawson,2772,Trevor Ariza,
17,21500502-175-2,21500502-175,dribble-hand-off,FALSE,2,8:20,17.14,2772,Trevor Ariza,201935,James Harden,
18,21500502-180-1,21500502-180,dribble-hand-off,FALSE,2,8:05,14.93,2730,Dwight Howard,201976,Patrick Beverley,
19,21500502-185-1,21500502-185,dribble-hand-off,FALSE,2,7:13,19.95,201976,Patrick Beverley,2772,Trevor Ariza,
20,21500502-277-1,21500502-277,dribble-hand-off,FALSE,3,10:46,12.6,2225,Tony Parker,1495,Tim Duncan,post entry pass
21,21500502-286-1,21500502-286,dribble-hand-off,TRUE,3,9:11,17.45,2730,Dwight Howard,201976,Patrick Beverley,
22,21500502-324-1,21500502-324,dribble-hand-off,FALSE,3,4:38,16.9,201976,Patrick Beverley,203093,Terrence Jones,
23,21500502-340-1,21500502-340,dribble-hand-off,FALSE,3,3:31,11.64,201951,Ty Lawson,201935,James Harden,pick n' roll
24,21500502-340-2,21500502-340,dribble-hand-off,TRUE,3,3:24,6.17,203991,Clint Capela,201935,James Harden,
25,21500502-341-1,21500502-341,dribble-hand-off,FALSE,3,3:08,14.96,202695,Kawhi Leonard,200746,LaMarcus Aldridge,post entry pass
26,21500502-391-1,21500502-391,dribble-hand-off,FALSE,4,11:10,11.8,201951,Ty Lawson,2730,Dwight Howard,pick n' roll
27,21500502-447-1,21500502-447,dribble-hand-off,FALSE,4,6:11,12.5,203613,Jonathon Simmons,2561,David West,
28,21500502-453-1,21500502-453,dribble-hand-off,TRUE,4,5:51,10.44,203991,Clint Capela,201147,Corey Brewer,
29,21500502-480-1,21500502-480,dribble-hand-off,FALSE,4,3:57,11.16,2225,Tony Parker,202695,Kawhi Leonard,inbounds pass
30,21500502-486-1,21500502-486,dribble-hand-off,FALSE,4,2:44,16.94,1626149,Montrezl Harrell,2730,Dwight Howard,
31,21500502-486-2,21500502-486,dribble-hand-off,TRUE,4,2:41,13.48,2730,Dwight Howard,201976,Patrick Beverley,
32,21500502-504-1,21500502-504,dribble-hand-off,FALSE,4,1:38,22.56,2564,Boris Diaw,203937,Kyle Anderson,
