,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500577-004-1,21500577-004,dribble-hand-off,TRUE,1,10:44,16.99,201143,Al Horford,203145,Kent Bazemore,
1,21500577-008-1,21500577-008,dribble-hand-off,TRUE,1,10:41,14.59,200794,Paul Millsap,2594,Kyle Korver,
2,21500577-015-1,21500577-015,dribble-hand-off,TRUE,1,9:38,13.3,201143,Al Horford,2594,Kyle Korver,
3,21500577-055-1,21500577-055,dribble-hand-off,FALSE,1,6:06,18.13,203471,Dennis Schroder,201143,Al Horford,
4,21500577-070-1,21500577-070,dribble-hand-off,FALSE,1,5:16,10.8,203471,Dennis Schroder,200794,Paul Millsap,post entry pass
5,21500577-071-1,21500577-071,dribble-hand-off,FALSE,1,4:53,15.96,203469,Cody Zeller,1626163,Frank Kaminsky,
6,21500577-071-2,21500577-071,dribble-hand-off,FALSE,1,4:51,15.38,1626163,Frank Kaminsky,201587,Nicolas Batum,
7,21500577-078-1,21500577-078,dribble-hand-off,FALSE,1,4:19,8.89,203471,Dennis Schroder,200794,Paul Millsap,
8,21500577-078-2,21500577-078,dribble-hand-off,TRUE,1,4:17,7.91,200794,Paul Millsap,203471,Dennis Schroder,
9,21500577-092-1,21500577-092,dribble-hand-off,TRUE,1,3:43,14.11,200794,Paul Millsap,203145,Kent Bazemore,
10,21500577-113-1,21500577-113,dribble-hand-off,FALSE,1,1:53,15.6,202391,Jeremy Lin,203087,Jeremy Lamb,
11,21500577-119-1,21500577-119,dribble-hand-off,TRUE,1,1:39,15.36,203118,Mike Scott,203145,Kent Bazemore,
12,21500577-138-1,21500577-138,dribble-hand-off,FALSE,1,0:33,3.02,203087,Jeremy Lamb,202391,Jeremy Lin,
13,21500577-142-1,21500577-142,dribble-hand-off,FALSE,1,0:11,3.06,202391,Jeremy Lin,1626163,Frank Kaminsky,
14,21500577-148-1,21500577-148,dribble-hand-off,TRUE,2,11:35,17.7,203471,Dennis Schroder,201952,Jeff Teague,
15,21500577-148-2,21500577-148,dribble-hand-off,FALSE,2,11:32,14.14,201952,Jeff Teague,201143,Al Horford,"screen, no pass"
16,21500577-153-1,21500577-153,dribble-hand-off,FALSE,2,10:57,18.78,202689,Kemba Walker,202391,Jeremy Lin,
17,21500577-173-1,21500577-173,dribble-hand-off,FALSE,2,8:35,14.74,201952,Jeff Teague,203118,Mike Scott,
18,21500577-173-2,21500577-173,dribble-hand-off,TRUE,2,8:32,12.84,203118,Mike Scott,201952,Jeff Teague,
19,21500577-178-1,21500577-178,dribble-hand-off,TRUE,2,8:04,13.54,203118,Mike Scott,203200,Justin Holiday,
20,21500577-178-2,21500577-178,dribble-hand-off,TRUE,2,8:00,10.62,201143,Al Horford,201952,Jeff Teague,
21,21500577-181-1,21500577-181,dribble-hand-off,FALSE,2,7:26,11.85,201952,Jeff Teague,203118,Mike Scott,
22,21500577-190-1,21500577-190,dribble-hand-off,TRUE,2,6:42,9.99,1626163,Frank Kaminsky,202391,Jeremy Lin,
23,21500577-196-1,21500577-196,dribble-hand-off,FALSE,2,6:09,13.65,1626163,Frank Kaminsky,202689,Kemba Walker,pass over head
24,21500577-198-1,21500577-198,dribble-hand-off,TRUE,2,5:40,9.19,201587,Nicolas Batum,1626163,Frank Kaminsky,"3pt shot, borderline"
25,21500577-222-1,21500577-222,dribble-hand-off,FALSE,2,4:32,23.64,203469,Cody Zeller,202689,Kemba Walker,
26,21500577-232-1,21500577-232,dribble-hand-off,FALSE,2,3:20,7.95,203145,Kent Bazemore,201952,Jeff Teague,
27,21500577-264-1,21500577-264,dribble-hand-off,TRUE,2,1:30,15.33,201143,Al Horford,203471,Dennis Schroder,denies screen
28,21500577-264-2,21500577-264,dribble-hand-off,FALSE,2,1:27,10.35,203471,Dennis Schroder,201143,Al Horford,"screen, no pass"
29,21500577-264-3,21500577-264,dribble-hand-off,FALSE,2,1:26,9.3,201143,Al Horford,203471,Dennis Schroder,"screen, no pass"
30,21500577-270-1,21500577-270,dribble-hand-off,TRUE,2,1:04,13.15,1626163,Frank Kaminsky,203798,PJ Hairston,denies screen
31,21500577-271-1,21500577-271,dribble-hand-off,FALSE,2,0:51,9.24,203471,Dennis Schroder,201143,Al Horford,post entry pass
32,21500577-276-1,21500577-276,dribble-hand-off,TRUE,2,0:31,10.34,203798,PJ Hairston,1626163,Frank Kaminsky,
33,21500577-276-2,21500577-276,dribble-hand-off,FALSE,2,0:28,8.36,1626163,Frank Kaminsky,203469,Cody Zeller,
34,21500577-295-1,21500577-295,dribble-hand-off,TRUE,3,10:59,10.92,101107,Marvin Williams,201587,Nicolas Batum,long pass
35,21500577-303-1,21500577-303,dribble-hand-off,FALSE,3,9:47,16.97,200794,Paul Millsap,201952,Jeff Teague,"borderline, long pass"
36,21500577-308-1,21500577-308,dribble-hand-off,FALSE,3,9:35,11.35,202689,Kemba Walker,101107,Marvin Williams,
37,21500577-313-1,21500577-313,dribble-hand-off,TRUE,3,9:01,13.02,101107,Marvin Williams,201587,Nicolas Batum,borderline
38,21500577-313-2,21500577-313,dribble-hand-off,FALSE,3,8:55,7.96,203798,PJ Hairston,201587,Nicolas Batum,
39,21500577-316-1,21500577-316,dribble-hand-off,FALSE,3,8:24,11.11,202689,Kemba Walker,203469,Cody Zeller,
40,21500577-316-2,21500577-316,dribble-hand-off,TRUE,3,8:23,10.47,203469,Cody Zeller,202689,Kemba Walker,FAKE
41,21500577-316-3,21500577-316,dribble-hand-off,FALSE,3,8:23,10.39,202689,Kemba Walker,203469,Cody Zeller,FAKE
42,21500577-332-1,21500577-332,dribble-hand-off,TRUE,3,6:55,10.78,203145,Kent Bazemore,203471,Dennis Schroder,at half court
43,21500577-332-2,21500577-332,dribble-hand-off,FALSE,3,6:51,10.44,203471,Dennis Schroder,200794,Paul Millsap,
44,21500577-332-3,21500577-332,dribble-hand-off,TRUE,3,6:50,10.37,200794,Paul Millsap,203471,Dennis Schroder,
45,21500577-333-1,21500577-333,dribble-hand-off,FALSE,3,6:31,11.8,202689,Kemba Walker,203469,Cody Zeller,
46,21500577-344-1,21500577-344,dribble-hand-off,TRUE,3,5:31,13.17,200794,Paul Millsap,201952,Jeff Teague,
47,21500577-345-1,21500577-345,dribble-hand-off,FALSE,3,5:15,12.83,101107,Marvin Williams,202689,Kemba Walker,
48,21500577-351-1,21500577-351,dribble-hand-off,FALSE,3,4:31,15.44,203471,Dennis Schroder,201143,Al Horford,
49,21500577-351-2,21500577-351,dribble-hand-off,TRUE,3,4:28,13.91,201143,Al Horford,203145,Kent Bazemore,
50,21500577-380-1,21500577-380,dribble-hand-off,FALSE,3,2:32,12.45,203471,Dennis Schroder,200794,Paul Millsap,pick n' pop
51,21500577-385-1,21500577-385,dribble-hand-off,FALSE,3,1:59,17.82,203471,Dennis Schroder,200794,Paul Millsap,to re-establish dribble
52,21500577-385-2,21500577-385,dribble-hand-off,TRUE,3,1:58,16.94,200794,Paul Millsap,203471,Dennis Schroder,to re-establish dribble
53,21500577-402-1,21500577-402,dribble-hand-off,FALSE,3,0:24,11.13,202689,Kemba Walker,203469,Cody Zeller,
54,21500577-402-2,21500577-402,dribble-hand-off,FALSE,3,0:16,0,202689,Kemba Walker,203087,Jeremy Lamb,loose ball
55,21500577-410-1,21500577-410,dribble-hand-off,FALSE,4,11:42,17.03,202391,Jeremy Lin,201587,Nicolas Batum,inbound pass
56,21500577-412-1,21500577-412,dribble-hand-off,FALSE,4,11:15,20.15,201143,Al Horford,203471,Dennis Schroder,
57,21500577-426-1,21500577-426,dribble-hand-off,TRUE,4,10:11,15.87,203118,Mike Scott,203501,Tim Hardaway Jr.,
58,21500577-436-1,21500577-436,dribble-hand-off,FALSE,4,9:56,9.89,201587,Nicolas Batum,1626163,Frank Kaminsky,
59,21500577-436-2,21500577-436,dribble-hand-off,FALSE,4,9:49,22.78,201587,Nicolas Batum,203584,Troy Daniels,
60,21500577-444-1,21500577-444,dribble-hand-off,FALSE,4,8:47,18.11,203488,Mike Muscala,203501,Tim Hardaway Jr.,
61,21500577-446-1,21500577-446,dribble-hand-off,FALSE,4,8:43,14.43,203200,Justin Holiday,203488,Mike Muscala,
62,21500577-446-2,21500577-446,dribble-hand-off,TRUE,4,8:42,13.21,203488,Mike Muscala,203200,Justin Holiday,"FAKE, very late pass"
63,21500577-447-1,21500577-447,dribble-hand-off,FALSE,4,8:14,8.78,203584,Troy Daniels,201587,Nicolas Batum,post entry pass
64,21500577-448-1,21500577-448,dribble-hand-off,FALSE,4,7:54,15.92,202714,Shelvin Mack,203488,Mike Muscala,pocket pass
65,21500577-463-1,21500577-463,dribble-hand-off,TRUE,4,5:52,15.57,1626163,Frank Kaminsky,202391,Jeremy Lin,
66,21500577-499-1,21500577-499,dribble-hand-off,FALSE,4,3:48,16.84,203148,Brian Roberts,203584,Troy Daniels,
67,21500577-513-1,21500577-513,dribble-hand-off,TRUE,4,2:31,13.54,201946,Tyler Hansbrough,203584,Troy Daniels,
68,21500577-513-2,21500577-513,dribble-hand-off,FALSE,4,2:30,12.02,203584,Troy Daniels,1626163,Frank Kaminsky,
69,21500577-525-1,21500577-525,dribble-hand-off,TRUE,4,1:42,16.12,201946,Tyler Hansbrough,203148,Brian Roberts,
