,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500112-002-1,21500112-002,dribble-hand-off,FALSE,1,11:53,18.58,201950,Jrue Holiday,201600,Omer Asik,
1,21500112-010-1,21500112-010,dribble-hand-off,TRUE,1,11:16,19.98,101114,Deron Williams,202718,Chandler Parsons,
2,21500112-010-2,21500112-010,dribble-hand-off,TRUE,1,11:13,17.14,1717,Dirk Nowitzki,202083,Wesley Matthews,
3,21500112-010-3,21500112-010,dribble-hand-off,FALSE,1,11:11,14.98,202083,Wesley Matthews,1717,Dirk Nowitzki,
4,21500112-013-1,21500112-013,dribble-hand-off,FALSE,1,10:52,14.66,101114,Deron Williams,1717,Dirk Nowitzki,
5,21500112-016-1,21500112-016,dribble-hand-off,TRUE,1,10:34,20.42,101114,Deron Williams,202718,Chandler Parsons,
6,21500112-033-1,21500112-033,dribble-hand-off,FALSE,1,8:20,15.89,101114,Deron Williams,1717,Dirk Nowitzki,
7,21500112-038-1,21500112-038,dribble-hand-off,FALSE,1,8:05,12.7,201950,Jrue Holiday,201600,Omer Asik,
8,21500112-040-1,21500112-040,dribble-hand-off,FALSE,1,7:50,16.97,202718,Chandler Parsons,101114,Deron Williams,
9,21500112-041-1,21500112-041,dribble-hand-off,FALSE,1,7:39,15.69,201950,Jrue Holiday,203076,Anthony Davis,
10,21500112-051-1,21500112-051,dribble-hand-off,FALSE,1,7:07,8.75,201583,Ryan Anderson,201950,Jrue Holiday,
11,21500112-052-1,21500112-052,dribble-hand-off,FALSE,1,6:56,17.23,101109,Raymond Felton,2585,Zaza Pachulia,
12,21500112-052-2,21500112-052,dribble-hand-off,TRUE,1,6:52,13.86,2585,Zaza Pachulia,101111,Charlie Villanueva,
13,21500112-057-1,21500112-057,dribble-hand-off,TRUE,1,6:28,20.35,203076,Anthony Davis,201950,Jrue Holiday,
14,21500112-058-1,21500112-058,dribble-hand-off,TRUE,1,6:13,18.84,101111,Charlie Villanueva,101114,Deron Williams,
15,21500112-058-2,21500112-058,dribble-hand-off,FALSE,1,6:12,17.56,101114,Deron Williams,101111,Charlie Villanueva,
16,21500112-059-1,21500112-059,dribble-hand-off,FALSE,1,6:02,18.75,201950,Jrue Holiday,203076,Anthony Davis,
17,21500112-063-1,21500112-063,dribble-hand-off,FALSE,1,5:43,8.41,202718,Chandler Parsons,101114,Deron Williams,
18,21500112-064-1,21500112-064,dribble-hand-off,TRUE,1,5:41,12.38,101111,Charlie Villanueva,101114,Deron Williams,
19,21500112-065-1,21500112-065,dribble-hand-off,FALSE,1,5:24,17.37,201950,Jrue Holiday,203076,Anthony Davis,
20,21500112-076-1,21500112-076,dribble-hand-off,FALSE,1,4:52,8.53,201583,Ryan Anderson,201950,Jrue Holiday,
21,21500112-094-1,21500112-094,dribble-hand-off,TRUE,1,3:31,17.96,101109,Raymond Felton,2734,Devin Harris,
22,21500112-098-1,21500112-098,dribble-hand-off,TRUE,1,2:59,17.79,101111,Charlie Villanueva,2734,Devin Harris,
23,21500112-098-2,21500112-098,dribble-hand-off,FALSE,1,2:54,13.34,202083,Wesley Matthews,101109,Raymond Felton,
24,21500112-098-3,21500112-098,dribble-hand-off,FALSE,1,2:53,11.83,101109,Raymond Felton,101111,Charlie Villanueva,
25,21500112-098-4,21500112-098,dribble-hand-off,FALSE,1,2:53,11.41,101111,Charlie Villanueva,202083,Wesley Matthews,
26,21500112-099-1,21500112-099,dribble-hand-off,FALSE,1,2:39,19.75,201569,Eric Gordon,202397,Ish Smith,
27,21500112-103-1,21500112-103,dribble-hand-off,TRUE,1,2:11,12.37,202083,Wesley Matthews,2734,Devin Harris,
28,21500112-105-1,21500112-105,dribble-hand-off,FALSE,1,1:53,13.84,201569,Eric Gordon,202397,Ish Smith,
29,21500112-112-1,21500112-112,dribble-hand-off,FALSE,1,0:52,18.05,101109,Raymond Felton,1717,Dirk Nowitzki,
30,21500112-149-1,21500112-149,dribble-hand-off,FALSE,2,10:31,15.98,202397,Ish Smith,201600,Omer Asik,
31,21500112-149-2,21500112-149,dribble-hand-off,TRUE,2,10:27,11.86,201600,Omer Asik,202397,Ish Smith,
32,21500112-151-1,21500112-151,dribble-hand-off,FALSE,2,10:17,19.32,2585,Zaza Pachulia,200826,Jose Juan Barea,
33,21500112-158-1,21500112-158,dribble-hand-off,FALSE,2,9:23,24,2585,Zaza Pachulia,1717,Dirk Nowitzki,
34,21500112-159-1,21500112-159,dribble-hand-off,TRUE,2,9:10,16.71,203076,Anthony Davis,202397,Ish Smith,
