,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500488-002-1,21500488-002,dribble-hand-off,FALSE,1,11:52,14.32,201566,Russell Westbrook,201142,Kevin Durant,
1,21500488-005-1,21500488-005,dribble-hand-off,TRUE,1,11:35,12.96,203933,TJ Warren,200782,PJ Tucker,
2,21500488-005-2,21500488-005,dribble-hand-off,TRUE,1,11:28,6.65,200782,PJ Tucker,202688,Brandon Knight,
3,21500488-009-1,21500488-009,dribble-hand-off,FALSE,1,10:43,7.85,200782,PJ Tucker,1626164,Devin Booker,
4,21500488-009-2,21500488-009,dribble-hand-off,FALSE,1,10:37,3.54,200782,PJ Tucker,203933,TJ Warren,
5,21500488-010-1,21500488-010,dribble-hand-off,FALSE,1,10:16,11.18,201142,Kevin Durant,203500,Steven Adams,
6,21500488-010-2,21500488-010,dribble-hand-off,FALSE,1,10:09,4.5,201566,Russell Westbrook,201586,Serge Ibaka,
7,21500488-011-1,21500488-011,dribble-hand-off,TRUE,1,9:57,16.36,2199,Tyson Chandler,1626164,Devin Booker,
8,21500488-023-1,21500488-023,dribble-hand-off,TRUE,1,8:19,9.78,200782,PJ Tucker,203933,TJ Warren,
9,21500488-029-1,21500488-029,dribble-hand-off,TRUE,1,7:49,15.64,202688,Brandon Knight,1626164,Devin Booker,
10,21500488-031-3,21500488-031,dribble-hand-off,TRUE,1,7:33,16,2199,Tyson Chandler,203933,TJ Warren,
11,21500488-035-1,21500488-035,dribble-hand-off,FALSE,1,6:56,17.5,201566,Russell Westbrook,201586,Serge Ibaka,
12,21500488-039-1,21500488-039,dribble-hand-off,FALSE,1,6:54,15.03,203460,Andre Roberson,201566,Russell Westbrook,
13,21500488-040-1,21500488-040,dribble-hand-off,TRUE,1,6:33,14.96,202688,Brandon Knight,1626164,Devin Booker,
14,21500488-041-1,21500488-041,dribble-hand-off,FALSE,1,6:15,14.95,201566,Russell Westbrook,203500,Steven Adams,
15,21500488-055-1,21500488-055,dribble-hand-off,TRUE,1,5:41,1.65,202688,Brandon Knight,203141,Mirza Teletovic,
16,21500488-060-1,21500488-060,dribble-hand-off,FALSE,1,5:13,15.37,202688,Brandon Knight,1626164,Devin Booker,
17,21500488-060-2,21500488-060,dribble-hand-off,FALSE,1,5:10,11.85,203141,Mirza Teletovic,202688,Brandon Knight,
18,21500488-060-3,21500488-060,dribble-hand-off,TRUE,1,5:03,5.08,202688,Brandon Knight,203141,Mirza Teletovic,
