,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500495-002-1,21500495-002,dribble-hand-off,FALSE,1,11:51,11.22,201572,Brook Lopez,2207,Joe Johnson,
1,21500495-003-1,21500495-003,dribble-hand-off,FALSE,1,11:34,15.86,203096,Jared Sullinger,101161,Amir Johnson,
2,21500495-004-1,21500495-004,dribble-hand-off,TRUE,1,11:22,13.84,201152,Thaddeus Young,202711,Bojan Bogdanovic,
3,21500495-004-2,21500495-004,dribble-hand-off,FALSE,1,11:19,10.74,202711,Bojan Bogdanovic,201572,Brook Lopez,
4,21500495-004-3,21500495-004,dribble-hand-off,FALSE,1,11:18,10.41,201572,Brook Lopez,2207,Joe Johnson,
5,21500495-009-1,21500495-009,dribble-hand-off,TRUE,1,10:54,16.25,201572,Brook Lopez,101127,Jarrett Jack,doesn't cross screen
6,21500495-010-1,21500495-010,dribble-hand-off,TRUE,1,10:35,23.88,203096,Jared Sullinger,202340,Avery Bradley,
7,21500495-010-2,21500495-010,dribble-hand-off,FALSE,1,10:33,23.91,202340,Avery Bradley,203096,Jared Sullinger,
8,21500495-014-1,21500495-014,dribble-hand-off,FALSE,1,10:14,16.72,203096,Jared Sullinger,203109,Jae Crowder,
9,21500495-014-2,21500495-014,dribble-hand-off,FALSE,1,10:11,13.81,203109,Jae Crowder,202738,Isaiah Thomas,
10,21500495-019-1,21500495-019,dribble-hand-off,TRUE,1,9:52,9.29,202738,Isaiah Thomas,101161,Amir Johnson,
11,21500495-019-2,21500495-019,dribble-hand-off,TRUE,1,9:50,9.05,203096,Jared Sullinger,203109,Jae Crowder,
12,21500495-021-1,21500495-021,dribble-hand-off,FALSE,1,9:34,15.7,101127,Jarrett Jack,201572,Brook Lopez,
13,21500495-021-2,21500495-021,dribble-hand-off,FALSE,1,9:33,15.12,201572,Brook Lopez,202711,Bojan Bogdanovic,
14,21500495-022-1,21500495-022,dribble-hand-off,FALSE,1,9:28,8.13,2207,Joe Johnson,201572,Brook Lopez,
15,21500495-023-1,21500495-023,dribble-hand-off,FALSE,1,9:12,17.39,203096,Jared Sullinger,203109,Jae Crowder,
16,21500495-023-2,21500495-023,dribble-hand-off,TRUE,1,9:11,16.7,203109,Jae Crowder,202340,Avery Bradley,
17,21500495-024-1,21500495-024,dribble-hand-off,FALSE,1,8:58,14.83,101127,Jarrett Jack,201572,Brook Lopez,
18,21500495-024-2,21500495-024,dribble-hand-off,FALSE,1,8:58,14.72,201572,Brook Lopez,101127,Jarrett Jack,
19,21500495-030-1,21500495-030,dribble-hand-off,TRUE,1,8:52,15.74,203096,Jared Sullinger,202340,Avery Bradley,
20,21500495-032-1,21500495-032,dribble-hand-off,FALSE,1,8:38,16.17,101127,Jarrett Jack,2207,Joe Johnson,
21,21500495-032-2,21500495-032,dribble-hand-off,FALSE,1,8:34,13.24,2207,Joe Johnson,201152,Thaddeus Young,
