,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500473-009-1,21500473-009,dribble-hand-off,FALSE,1,10:55,19.29,203914,Gary Harris,203530,Joffrey Lauvergne,
1,21500473-014-1,21500473-014,dribble-hand-off,TRUE,1,10:37,11.83,201567,Kevin Love,2544,LeBron James,results in layup
2,21500473-019-1,21500473-019,dribble-hand-off,TRUE,1,9:36,12.24,203530,Joffrey Lauvergne,2749,Jameer Nelson,
3,21500473-032-1,21500473-032,dribble-hand-off,FALSE,1,7:54,22.44,203123,Kostas Papanikolaou,2749,Jameer Nelson,
4,21500473-084-1,21500473-084,dribble-hand-off,TRUE,1,2:06,12.82,201589,Darrell Arthur,203914,Gary Harris,
5,21500473-089-1,21500473-089,dribble-hand-off,FALSE,1,1:07,13.04,203115,Will Barton,2749,Jameer Nelson,
6,21500473-116-1,21500473-116,dribble-hand-off,FALSE,2,10:30,8.5,2210,Richard Jefferson,202697,Iman Shumpert,pass folowed by pick n' roll
7,21500473-131-1,21500473-131,dribble-hand-off,FALSE,2,8:36,13.37,203115,Will Barton,203999,Nikola Jokic,post entry pass
8,21500473-132-1,21500473-132,dribble-hand-off,TRUE,2,8:16,13.34,203521,Matthew Dellavedova,202697,Iman Shumpert,
9,21500473-132-2,21500473-132,dribble-hand-off,FALSE,2,8:11,7.94,202697,Iman Shumpert,202389,Timofey Mozgov,pass over head
10,21500473-141-1,21500473-141,dribble-hand-off,FALSE,2,7:24,14.75,200751,Randy Foye,203530,Joffrey Lauvergne,pick n' roll
11,21500473-147-1,21500473-147,dribble-hand-off,FALSE,2,6:58,23.24,203530,Joffrey Lauvergne,203115,Will Barton,outlet following off reb
12,21500473-153-1,21500473-153,dribble-hand-off,FALSE,2,6:28,13.49,203115,Will Barton,200751,Randy Foye,
13,21500473-156-1,21500473-156,dribble-hand-off,TRUE,2,5:53,14.4,203530,Joffrey Lauvergne,203115,Will Barton,
14,21500473-163-1,21500473-163,dribble-hand-off,TRUE,2,5:01,10.16,203530,Joffrey Lauvergne,2749,Jameer Nelson,
15,21500473-172-1,21500473-172,dribble-hand-off,TRUE,2,4:21,10.48,203530,Joffrey Lauvergne,203115,Will Barton,
