,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500661-005-1,21500661-005,dribble-hand-off,TRUE,1,10:25,13.24,201589,Darrell Arthur,203914,Gary Harris,
1,21500661-008-1,21500661-008,dribble-hand-off,FALSE,1,9:51,11.73,1626144,Emmanuel Mudiay,203999,Nikola Jokic,
2,21500661-008-2,21500661-008,dribble-hand-off,FALSE,1,9:50,11.53,203999,Nikola Jokic,1626144,Emmanuel Mudiay,
3,21500661-008-3,21500661-008,dribble-hand-off,FALSE,1,9:49,10.11,203999,Nikola Jokic,201568,Danilo Gallinari,
4,21500661-023-1,21500661-023,dribble-hand-off,FALSE,1,9:09,16.7,202704,Reggie Jackson,101141,Ersan Ilyasova,
5,21500661-023-2,21500661-023,dribble-hand-off,FALSE,1,8:59,8.03,203484,Kentavious Caldwell-Pope,202704,Reggie Jackson,turnover
6,21500661-026-1,21500661-026,dribble-hand-off,TRUE,1,8:31,15.53,201589,Darrell Arthur,203914,Gary Harris,
7,21500661-073-1,21500661-073,dribble-hand-off,FALSE,1,5:10,15.85,1626144,Emmanuel Mudiay,201589,Darrell Arthur,
8,21500661-279-1,21500661-279,dribble-hand-off,FALSE,1,2:25,12.36,1626144,Emmanuel Mudiay,203115,Will Barton,borderline
9,21500661-108-1,21500661-108,dribble-hand-off,FALSE,1,1:50,20.76,1626144,Emmanuel Mudiay,201568,Danilo Gallinari,
10,21500661-108-2,21500661-108,dribble-hand-off,FALSE,1,1:43,14.44,201568,Danilo Gallinari,203999,Nikola Jokic,pick n' roll
11,21500661-116-1,21500661-116,dribble-hand-off,FALSE,1,1:09,18.5,200751,Randy Foye,203530,Joffrey Lauvergne,
12,21500661-116-2,21500661-116,dribble-hand-off,TRUE,1,1:05,14.08,203530,Joffrey Lauvergne,203115,Will Barton,
13,21500661-127-1,21500661-127,dribble-hand-off,FALSE,1,0:06,0,201943,Brandon Jennings,1626169,Stanley Johnson,
14,21500661-140-1,21500661-140,dribble-hand-off,FALSE,2,11:20,17.7,200751,Randy Foye,203530,Joffrey Lauvergne,
15,21500661-142-1,21500661-142,dribble-hand-off,FALSE,2,11:10,19.56,201943,Brandon Jennings,203382,Aron Baynes,
16,21500661-142-2,21500661-142,dribble-hand-off,FALSE,2,11:10,19.36,203382,Aron Baynes,201229,Anthony Tolliver,
17,21500661-142-3,21500661-142,dribble-hand-off,TRUE,2,11:09,17.82,201229,Anthony Tolliver,1626199,Darrun Hilliard,
18,21500661-144-1,21500661-144,dribble-hand-off,TRUE,2,10:48,11.05,2034,Mike Miller,203115,Will Barton,
19,21500661-161-1,21500661-161,dribble-hand-off,FALSE,2,9:25,12.24,201943,Brandon Jennings,203382,Aron Baynes,
20,21500661-161-2,21500661-161,dribble-hand-off,TRUE,2,9:21,8.07,203382,Aron Baynes,1626199,Darrun Hilliard,
21,21500661-163-1,21500661-163,dribble-hand-off,TRUE,2,8:26,9.63,2034,Mike Miller,203115,Will Barton,
22,21500661-178-1,21500661-178,dribble-hand-off,TRUE,2,7:09,16.36,203999,Nikola Jokic,203115,Will Barton,
23,21500661-178-2,21500661-178,dribble-hand-off,FALSE,2,7:08,16,203115,Will Barton,203999,Nikola Jokic,screen
24,21500661-178-3,21500661-178,dribble-hand-off,FALSE,2,7:08,15.92,203999,Nikola Jokic,203115,Will Barton,screen
25,21500661-178-4,21500661-178,dribble-hand-off,FALSE,2,7:08,15.84,203115,Will Barton,203999,Nikola Jokic,screen
26,21500661-181-1,21500661-181,dribble-hand-off,TRUE,2,6:40,17.4,2034,Mike Miller,200751,Randy Foye,
27,21500661-206-1,21500661-206,dribble-hand-off,FALSE,2,5:04,16.79,202704,Reggie Jackson,203083,Andre Drummond,pick n' roll
28,21500661-215-1,21500661-215,dribble-hand-off,TRUE,2,4:34,20.2,101141,Ersan Ilyasova,202694,Marcus Morris,
29,21500661-217-1,21500661-217,dribble-hand-off,TRUE,2,4:23,19.27,203999,Nikola Jokic,201568,Danilo Gallinari,
30,21500661-224-1,21500661-224,dribble-hand-off,TRUE,2,3:53,17.98,201589,Darrell Arthur,203914,Gary Harris,
31,21500661-228-1,21500661-228,dribble-hand-off,TRUE,2,3:11,11.85,203999,Nikola Jokic,1626144,Emmanuel Mudiay,
32,21500661-229-1,21500661-229,dribble-hand-off,FALSE,2,2:34,16.09,1626144,Emmanuel Mudiay,201589,Darrell Arthur,
33,21500661-282-1,21500661-282,dribble-hand-off,FALSE,3,11:24,18.33,201568,Danilo Gallinari,203999,Nikola Jokic,
