,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500593-021-1,21500593-021,dribble-hand-off,FALSE,1,9:53,11.51,1626162,Kelly Oubre,201162,Jared Dudley,
1,21500593-032-1,21500593-032,dribble-hand-off,FALSE,1,8:46,12.47,202322,John Wall,2403,Nene Hilario,"screen, no pass"
2,21500593-032-2,21500593-032,dribble-hand-off,FALSE,1,8:46,12.35,2403,Nene Hilario,202322,John Wall,"screen, no pass"
3,21500593-034-1,21500593-034,dribble-hand-off,TRUE,1,9:10,11.93,101133,Ian Mahinmi,202331,Paul George,FAKE
4,21500593-034-2,21500593-034,dribble-hand-off,FALSE,1,9:10,11.89,202331,Paul George,101133,Ian Mahinmi,FAKE
5,21500593-034-3,21500593-034,dribble-hand-off,FALSE,1,9:09,11.77,101133,Ian Mahinmi,202331,Paul George,
6,21500593-034-4,21500593-034,dribble-hand-off,FALSE,1,9:09,11.69,202331,Paul George,101133,Ian Mahinmi,
7,21500593-035-1,21500593-035,dribble-hand-off,FALSE,1,8:23,6.22,202331,Paul George,101133,Ian Mahinmi,
8,21500593-037-1,21500593-037,dribble-hand-off,FALSE,1,7:46,17.23,201588,George Hill,101133,Ian Mahinmi,
9,21500593-042-1,21500593-042,dribble-hand-off,FALSE,1,7:39,10.19,101145,Monta Ellis,101133,Ian Mahinmi,pick n' roll
10,21500593-046-1,21500593-046,dribble-hand-off,TRUE,1,7:07,14.62,2403,Nene Hilario,202322,John Wall,
11,21500593-048-1,21500593-048,dribble-hand-off,FALSE,1,6:55,2.55,202066,Garrett Temple,1626162,Kelly Oubre,
12,21500593-051-1,21500593-051,dribble-hand-off,FALSE,1,6:41,11.53,202322,John Wall,201162,Jared Dudley,loose ball
13,21500593-051-2,21500593-051,dribble-hand-off,TRUE,1,6:36,9.57,201162,Jared Dudley,202066,Garrett Temple,
14,21500593-073-1,21500593-073,dribble-hand-off,TRUE,1,5:00,15.85,2400,Drew Gooden,202066,Garrett Temple,"borderline, denies screen"
15,21500593-073-2,21500593-073,dribble-hand-off,FALSE,1,4:55,11.6,202322,John Wall,1626162,Kelly Oubre,drive n' kick
16,21500593-101-1,21500593-101,dribble-hand-off,TRUE,1,2:40,13.15,202730,Lavoy Allen,201978,Chase Budinger,
