,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500662-004-1,21500662-004,dribble-hand-off,TRUE,1,11:35,18.05,203081,Damian Lillard,203468,CJ McCollum,
1,21500662-017-1,21500662-017,dribble-hand-off,TRUE,1,9:59,13.11,203081,Damian Lillard,203468,CJ McCollum,
2,21500662-017-2,21500662-017,dribble-hand-off,FALSE,1,9:59,13.07,203468,CJ McCollum,203081,Damian Lillard,
3,21500662-032-1,21500662-032,dribble-hand-off,TRUE,1,9:01,16.02,203468,CJ McCollum,203081,Damian Lillard,
4,21500662-032-2,21500662-032,dribble-hand-off,FALSE,1,9:00,12.63,203081,Damian Lillard,203468,CJ McCollum,
5,21500662-032-3,21500662-032,dribble-hand-off,FALSE,1,8:42,12.9,203943,Noah Vonleh,203468,CJ McCollum,
6,21500662-033-1,21500662-033,dribble-hand-off,TRUE,1,8:31,19.05,203944,Julius Randle,101150,Lou Williams,
7,21500662-046-1,21500662-046,dribble-hand-off,FALSE,1,7:29,16.39,203944,Julius Randle,203903,Jordan Clarkson,
8,21500662-048-1,21500662-048,dribble-hand-off,FALSE,1,7:03,17.69,203903,Jordan Clarkson,977,Kobe Bryant,
9,21500662-050-1,21500662-050,dribble-hand-off,TRUE,1,6:35,13.56,201579,Roy Hibbert,203944,Julius Randle,
10,21500662-057-1,21500662-057,dribble-hand-off,FALSE,1,5:23,19.76,203903,Jordan Clarkson,977,Kobe Bryant,
11,21500662-075-1,21500662-075,dribble-hand-off,FALSE,1,4:19,15.18,1626156,D'Angelo Russell,203903,Jordan Clarkson,
12,21500662-075-2,21500662-075,dribble-hand-off,FALSE,1,4:10,7.06,1626156,D'Angelo Russell,977,Kobe Bryant,
13,21500662-076-1,21500662-076,dribble-hand-off,FALSE,1,3:47,10.43,203081,Damian Lillard,203486,Mason Plumlee,
14,21500662-076-2,21500662-076,dribble-hand-off,TRUE,1,3:46,9.57,203486,Mason Plumlee,203081,Damian Lillard,FAKE
15,21500662-076-3,21500662-076,dribble-hand-off,FALSE,1,3:46,9.37,203081,Damian Lillard,203486,Mason Plumlee,
16,21500662-076-4,21500662-076,dribble-hand-off,TRUE,1,3:43,6.8,203486,Mason Plumlee,203459,Allen Crabbe,
17,21500662-076-5,21500662-076,dribble-hand-off,FALSE,1,3:41,4.71,203459,Allen Crabbe,203486,Mason Plumlee,
18,21500662-079-1,21500662-079,dribble-hand-off,TRUE,1,2:58,14.4,201579,Roy Hibbert,203903,Jordan Clarkson,
