,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500079-004-1,21500079-004,dribble-hand-off,FALSE,1,11:19,18.84,101181,Jose Calderon,204001,Kristaps Porzingis,
1,21500079-007-1,21500079-007,dribble-hand-off,TRUE,1,10:32,12.35,202328,Greg Monroe,203114,Khris Middleton,
2,21500079-008-1,21500079-008,dribble-hand-off,FALSE,1,10:10,12.84,201577,Robin Lopez,2546,Carmelo Anthony,
3,21500079-008-2,21500079-008,dribble-hand-off,FALSE,1,10:10,12.21,2546,Carmelo Anthony,2756,Sasha Vujacic,
4,21500079-010-1,21500079-010,dribble-hand-off,FALSE,1,9:57,18.55,203507,Giannis Antetokounmpo,202328,Greg Monroe,
5,21500079-013-1,21500079-013,dribble-hand-off,FALSE,1,9:42,18.08,2756,Sasha Vujacic,201577,Robin Lopez,
6,21500079-017-1,21500079-017,dribble-hand-off,FALSE,1,9:02,19.68,2756,Sasha Vujacic,204001,Kristaps Porzingis,
7,21500079-018-1,21500079-018,dribble-hand-off,FALSE,1,8:45,22.2,204001,Kristaps Porzingis,2546,Carmelo Anthony,
8,21500079-020-1,21500079-020,dribble-hand-off,FALSE,1,8:38,21.16,203114,Khris Middleton,203507,Giannis Antetokounmpo,
9,21500079-022-1,21500079-022,dribble-hand-off,FALSE,1,8:22,17.55,204001,Kristaps Porzingis,2546,Carmelo Anthony,
10,21500079-024-1,21500079-024,dribble-hand-off,TRUE,1,8:13,8.55,2546,Carmelo Anthony,201577,Robin Lopez,
11,21500079-028-1,21500079-028,dribble-hand-off,FALSE,1,7:34,19.24,203898,Tyler Ennis,203953,Jabari Parker,
12,21500079-028-2,21500079-028,dribble-hand-off,FALSE,1,7:30,15.44,203898,Tyler Ennis,202328,Greg Monroe,
13,21500079-028-3,21500079-028,dribble-hand-off,FALSE,1,7:28,13.63,202328,Greg Monroe,203507,Giannis Antetokounmpo,
14,21500079-028-4,21500079-028,dribble-hand-off,FALSE,1,7:24,8.99,203953,Jabari Parker,203507,Giannis Antetokounmpo,
15,21500079-039-1,21500079-039,dribble-hand-off,FALSE,1,6:53,11.95,202349,Greivis Vasquez,203507,Giannis Antetokounmpo,
