,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500476-002-1,21500476-002,dribble-hand-off,TRUE,1,11:56,14.41,203109,Jae Crowder,202738,Isaiah Thomas,
1,21500476-002-2,21500476-002,dribble-hand-off,TRUE,1,11:49,12.07,203096,Jared Sullinger,202738,Isaiah Thomas,
2,21500476-004-1,21500476-004,dribble-hand-off,TRUE,1,11:31,24,201579,Roy Hibbert,977,Kobe Bryant,
3,21500476-007-1,21500476-007,dribble-hand-off,FALSE,1,11:07,8.32,202738,Isaiah Thomas,203096,Jared Sullinger,
4,21500476-009-1,21500476-009,dribble-hand-off,FALSE,1,10:53,13.54,101150,Lou Williams,977,Kobe Bryant,
5,21500476-009-2,21500476-009,dribble-hand-off,FALSE,1,10:53,13.28,977,Kobe Bryant,101150,Lou Williams,
6,21500476-010-1,21500476-010,dribble-hand-off,FALSE,1,10:45,19.74,202738,Isaiah Thomas,101161,Amir Johnson,
7,21500476-016-1,21500476-016,dribble-hand-off,TRUE,1,9:40,9.22,1626204,Larry Nance Jr.,203903,Jordan Clarkson,
8,21500476-019-1,21500476-019,dribble-hand-off,FALSE,1,9:21,11.08,202340,Avery Bradley,203096,Jared Sullinger,
9,21500476-027-1,21500476-027,dribble-hand-off,TRUE,1,8:22,16.63,203096,Jared Sullinger,202340,Avery Bradley,
10,21500476-030-1,21500476-030,dribble-hand-off,TRUE,1,8:08,13.9,201579,Roy Hibbert,203903,Jordan Clarkson,FAKE
11,21500476-030-2,21500476-030,dribble-hand-off,FALSE,1,8:07,13.65,203903,Jordan Clarkson,201579,Roy Hibbert,
12,21500476-033-1,21500476-033,dribble-hand-off,FALSE,1,7:38,14.28,201579,Roy Hibbert,977,Kobe Bryant,
13,21500476-036-1,21500476-036,dribble-hand-off,FALSE,1,7:37,13.51,203903,Jordan Clarkson,1626204,Larry Nance Jr.,
14,21500476-036-2,21500476-036,dribble-hand-off,FALSE,1,7:37,5.95,1626204,Larry Nance Jr.,201579,Roy Hibbert,
15,21500476-036-3,21500476-036,dribble-hand-off,TRUE,1,7:34,4.69,201579,Roy Hibbert,203903,Jordan Clarkson,
16,21500476-037-1,21500476-037,dribble-hand-off,FALSE,1,7:09,13.54,203109,Jae Crowder,202340,Avery Bradley,
17,21500476-037-2,21500476-037,dribble-hand-off,FALSE,1,7:09,12.82,202340,Avery Bradley,203109,Jae Crowder,
18,21500476-042-1,21500476-042,dribble-hand-off,FALSE,1,6:54,19.73,202738,Isaiah Thomas,203109,Jae Crowder,
19,21500476-046-1,21500476-046,dribble-hand-off,FALSE,1,6:42,10.47,101150,Lou Williams,201579,Roy Hibbert,
20,21500476-046-2,21500476-046,dribble-hand-off,TRUE,1,6:40,9.64,201579,Roy Hibbert,101150,Lou Williams,
