,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500018-010-1,21500018-010,dribble-hand-off,TRUE,1,10:44,13.92,201188,Marc Gasol,201584,Courtney Lee,
1,21500018-030-1,21500018-030,dribble-hand-off,FALSE,1,8:42,15.12,201588,George Hill,202331,Paul George,
2,21500018-030-2,21500018-030,dribble-hand-off,FALSE,1,8:40,13.49,202331,Paul George,201941,Jordan Hill,
3,21500018-051-1,21500018-051,dribble-hand-off,FALSE,1,7:12,11.47,202331,Paul George,101133,Ian Mahinmi,pocket pass
4,21500018-059-1,21500018-059,dribble-hand-off,FALSE,1,6:39,8.99,202331,Paul George,201941,Jordan Hill,"turnover, backcourt pass"
5,21500018-063-1,21500018-063,dribble-hand-off,TRUE,1,6:13,7.27,201941,Jordan Hill,101145,Monta Ellis,
6,21500018-066-1,21500018-066,dribble-hand-off,TRUE,1,5:54,10.91,201941,Jordan Hill,101145,Monta Ellis,
7,21500018-066-2,21500018-066,dribble-hand-off,FALSE,1,5:51,7.75,201588,George Hill,101145,Monta Ellis,
8,21500018-066-3,21500018-066,dribble-hand-off,FALSE,1,5:51,7.55,101145,Monta Ellis,202331,Paul George,
9,21500018-068-1,21500018-068,dribble-hand-off,FALSE,1,5:33,12.09,201188,Marc Gasol,2216,Zach Randolph,
10,21500018-068-2,21500018-068,dribble-hand-off,TRUE,1,5:23,1.55,201188,Marc Gasol,201584,Courtney Lee,
11,21500018-076-1,21500018-076,dribble-hand-off,FALSE,1,4:07,16.49,201588,George Hill,101133,Ian Mahinmi,
12,21500018-079-1,21500018-079,dribble-hand-off,TRUE,1,4:04,14.01,101133,Ian Mahinmi,201588,George Hill,
13,21500018-081-1,21500018-081,dribble-hand-off,FALSE,1,3:39,22.53,2757,Beno Udrih,2440,Matt Barnes,
14,21500018-081-2,21500018-081,dribble-hand-off,TRUE,1,3:39,22.01,2440,Matt Barnes,2757,Beno Udrih,
15,21500018-098-1,21500018-098,dribble-hand-off,TRUE,1,3:05,14.55,201978,Chase Budinger,101145,Monta Ellis,
16,21500018-115-1,21500018-115,dribble-hand-off,FALSE,1,1:53,12.64,2757,Beno Udrih,201145,Jeff Green,
