,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500459-006-1,21500459-006,dribble-hand-off,TRUE,1,11:08,11.31,201588,George Hill,202331,Paul George,very quick
1,21500459-017-1,21500459-017,dribble-hand-off,FALSE,1,9:59,8.44,101145,Monta Ellis,202730,Lavoy Allen,pick n' pop
2,21500459-033-1,21500459-033,dribble-hand-off,FALSE,1,7:33,21.31,201952,Jeff Teague,2594,Kyle Korver,transition
3,21500459-033-2,21500459-033,dribble-hand-off,TRUE,1,7:29,16.87,201143,Al Horford,203145,Kent Bazemore,borderline
4,21500459-033-3,21500459-033,dribble-hand-off,FALSE,1,7:27,14.61,203145,Kent Bazemore,201143,Al Horford,pick n' roll
5,21500459-035-1,21500459-035,dribble-hand-off,FALSE,1,7:16,18.66,201588,George Hill,101133,Ian Mahinmi,
6,21500459-046-1,21500459-046,dribble-hand-off,TRUE,1,6:27,16.11,202730,Lavoy Allen,101145,Monta Ellis,
7,21500459-058-1,21500459-058,dribble-hand-off,TRUE,1,5:48,7.66,101133,Ian Mahinmi,201588,George Hill,borderline
8,21500459-058-2,21500459-058,dribble-hand-off,FALSE,1,5:47,6.14,101133,Ian Mahinmi,201588,George Hill,"screen, no pass"
9,21500459-072-1,21500459-072,dribble-hand-off,FALSE,1,4:48,11.77,101145,Monta Ellis,202331,Paul George,
10,21500459-077-1,21500459-077,dribble-hand-off,FALSE,1,4:12,17.05,202331,Paul George,101145,Monta Ellis,
11,21500459-078-1,21500459-078,dribble-hand-off,FALSE,1,4:01,18.08,203471,Dennis Schroder,200794,Paul Millsap,
12,21500459-081-1,21500459-081,dribble-hand-off,FALSE,1,3:55,21.42,203471,Dennis Schroder,200794,Paul Millsap,pick n' roll
13,21500459-087-1,21500459-087,dribble-hand-off,FALSE,1,3:23,18.08,201155,Rodney Stuckey,202331,Paul George,
14,21500459-104-1,21500459-104,dribble-hand-off,TRUE,1,1:30,14.58,203524,Solomon Hill,202331,Paul George,
