,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500466-034-1,21500466-034,dribble-hand-off,FALSE,1,6:40,7.21,202684,Tristan Thompson,2544,LeBron James,
1,21500466-036-1,21500466-036,dribble-hand-off,FALSE,1,6:00,19.76,202688,Brandon Knight,203458,Alex Len,
2,21500466-079-1,21500466-079,dribble-hand-off,TRUE,1,2:04,19.51,202389,Timofey Mozgov,2747,J.R. Smith,
3,21500466-147-1,21500466-147,dribble-hand-off,TRUE,2,9:02,4.97,202684,Tristan Thompson,203521,Matthew Dellavedova,
4,21500466-151-1,21500466-151,dribble-hand-off,TRUE,2,8:34,13.54,2544,LeBron James,203521,Matthew Dellavedova,
5,21500466-196-1,21500466-196,dribble-hand-off,TRUE,2,3:52,17.56,202688,Brandon Knight,200782,PJ Tucker,
6,21500466-201-1,21500466-201,dribble-hand-off,FALSE,2,3:41,5.72,202688,Brandon Knight,202720,Jon Leuer,
7,21500466-208-1,21500466-208,dribble-hand-off,FALSE,2,2:47,7.48,202720,Jon Leuer,1626164,Devin Booker,
8,21500466-238-1,21500466-238,dribble-hand-off,FALSE,3,10:55,15.3,202681,Kyrie Irving,202684,Tristan Thompson,
9,21500466-259-1,21500466-259,dribble-hand-off,TRUE,3,8:18,13.41,201567,Kevin Love,2544,LeBron James,
10,21500466-259-2,21500466-259,dribble-hand-off,FALSE,3,8:14,7.74,201567,Kevin Love,2747,J.R. Smith,
11,21500466-323-1,21500466-323,dribble-hand-off,FALSE,3,4:25,16.1,203521,Matthew Dellavedova,2747,J.R. Smith,
12,21500466-323-2,21500466-323,dribble-hand-off,TRUE,3,4:21,11.14,202389,Timofey Mozgov,2544,LeBron James,
13,21500466-357-1,21500466-357,dribble-hand-off,FALSE,3,1:24,12.05,101179,Ronnie Price,203933,TJ Warren,
14,21500466-366-1,21500466-366,dribble-hand-off,TRUE,3,0:29,5.09,203458,Alex Len,1626164,Devin Booker,
15,21500466-381-1,21500466-381,dribble-hand-off,TRUE,4,11:20,21.41,202697,Iman Shumpert,202681,Kyrie Irving,
16,21500466-384-1,21500466-384,dribble-hand-off,FALSE,4,11:08,22.63,202697,Iman Shumpert,202681,Kyrie Irving,
17,21500466-391-1,21500466-391,dribble-hand-off,FALSE,4,9:45,18.6,202688,Brandon Knight,2199,Tyson Chandler,
18,21500466-391-2,21500466-391,dribble-hand-off,TRUE,4,9:41,14.93,2199,Tyson Chandler,202688,Brandon Knight,
19,21500466-391-3,21500466-391,dribble-hand-off,FALSE,4,9:40,13.87,202688,Brandon Knight,2199,Tyson Chandler,
20,21500466-391-4,21500466-391,dribble-hand-off,TRUE,4,9:39,13.04,2199,Tyson Chandler,203933,TJ Warren,borderline
21,21500466-393-1,21500466-393,dribble-hand-off,FALSE,4,9:28,20.43,203521,Matthew Dellavedova,202389,Timofey Mozgov,
22,21500466-398-1,21500466-398,dribble-hand-off,FALSE,4,9:14,15.29,202688,Brandon Knight,2199,Tyson Chandler,
23,21500466-398-2,21500466-398,dribble-hand-off,TRUE,4,9:09,12.2,2199,Tyson Chandler,202688,Brandon Knight,
24,21500466-405-1,21500466-405,dribble-hand-off,FALSE,4,8:13,19.19,202688,Brandon Knight,2199,Tyson Chandler,
25,21500466-408-1,21500466-408,dribble-hand-off,FALSE,4,8:02,8.12,1626164,Devin Booker,200782,PJ Tucker,
26,21500466-482-1,21500466-482,dribble-hand-off,FALSE,4,1:48,14.82,2747,J.R. Smith,202681,Kyrie Irving,
27,21500466-490-1,21500466-490,dribble-hand-off,FALSE,4,1:14,24,2544,LeBron James,202681,Kyrie Irving,
28,21500466-490-2,21500466-490,dribble-hand-off,FALSE,4,1:01,11.03,202681,Kyrie Irving,2544,LeBron James,
