,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500458-004-1,21500458-004,dribble-hand-off,FALSE,1,11:14,17.78,203903,Jordan Clarkson,201579,Roy Hibbert,
1,21500458-022-1,21500458-022,dribble-hand-off,FALSE,1,9:15,11.49,1626204,Larry Nance Jr.,201579,Roy Hibbert,
2,21500458-022-2,21500458-022,dribble-hand-off,TRUE,1,9:12,8.81,201579,Roy Hibbert,203903,Jordan Clarkson,borderline
3,21500458-023-1,21500458-023,dribble-hand-off,FALSE,1,8:49,23.95,202689,Kemba Walker,101107,Marvin Williams,
4,21500458-038-1,21500458-038,dribble-hand-off,TRUE,1,6:31,13.85,203469,Cody Zeller,203798,PJ Hairston,FAKE
5,21500458-038-2,21500458-038,dribble-hand-off,FALSE,1,6:31,13.78,203798,PJ Hairston,203469,Cody Zeller,FAKE
6,21500458-040-1,21500458-040,dribble-hand-off,FALSE,1,6:10,19.9,203469,Cody Zeller,203798,PJ Hairston,
7,21500458-040-2,21500458-040,dribble-hand-off,FALSE,1,6:09,18.87,203798,PJ Hairston,202689,Kemba Walker,
8,21500458-041-1,21500458-041,dribble-hand-off,TRUE,1,5:47,16.69,203903,Jordan Clarkson,101150,Lou Williams,
9,21500458-042-1,21500458-042,dribble-hand-off,FALSE,1,5:30,14.34,201587,Nicolas Batum,101107,Marvin Williams,
10,21500458-042-2,21500458-042,dribble-hand-off,TRUE,1,5:30,13.64,101107,Marvin Williams,202689,Kemba Walker,denies screen
11,21500458-042-3,21500458-042,dribble-hand-off,FALSE,1,5:27,11.44,202689,Kemba Walker,101107,Marvin Williams,
12,21500458-042-4,21500458-042,dribble-hand-off,TRUE,1,5:26,11.05,101107,Marvin Williams,202689,Kemba Walker,
13,21500458-063-1,21500458-063,dribble-hand-off,FALSE,1,4:02,6.65,203903,Jordan Clarkson,977,Kobe Bryant,post entry
14,21500458-065-1,21500458-065,dribble-hand-off,FALSE,1,3:51,20.65,202689,Kemba Walker,201587,Nicolas Batum,transition
15,21500458-074-1,21500458-074,dribble-hand-off,FALSE,1,3:31,7.8,1626163,Frank Kaminsky,202391,Jeremy Lin,
16,21500458-076-1,21500458-076,dribble-hand-off,TRUE,1,3:12,18.84,203944,Julius Randle,203903,Jordan Clarkson,
17,21500458-080-1,21500458-080,dribble-hand-off,TRUE,1,3:00,16.96,1626163,Frank Kaminsky,202391,Jeremy Lin,
18,21500458-080-2,21500458-080,dribble-hand-off,FALSE,1,2:58,14.98,203469,Cody Zeller,202689,Kemba Walker,
19,21500458-089-1,21500458-089,dribble-hand-off,TRUE,1,2:41,4.46,101138,Brandon Bass,203903,Jordan Clarkson,
20,21500458-089-2,21500458-089,dribble-hand-off,FALSE,1,2:38,4.13,101138,Brandon Bass,201156,Nick Young,borderline
21,21500458-089-3,21500458-089,dribble-hand-off,FALSE,1,2:36,3.85,201156,Nick Young,101138,Brandon Bass,
22,21500458-090-1,21500458-090,dribble-hand-off,FALSE,1,2:13,22.83,1626163,Frank Kaminsky,202689,Kemba Walker,"transition, not in possession "
23,21500458-095-1,21500458-095,dribble-hand-off,TRUE,1,1:35,9.33,101138,Brandon Bass,203903,Jordan Clarkson,
24,21500458-095-2,21500458-095,dribble-hand-off,FALSE,1,1:34,8.75,203903,Jordan Clarkson,101138,Brandon Bass,
25,21500458-097-1,21500458-097,dribble-hand-off,TRUE,1,1:03,13.67,203944,Julius Randle,1626156,D'Angelo Russell,FAKE
26,21500458-097-2,21500458-097,dribble-hand-off,TRUE,1,1:01,11.87,203944,Julius Randle,1626156,D'Angelo Russell,
27,21500458-099-1,21500458-099,dribble-hand-off,FALSE,1,0:16,5.28,1626156,D'Angelo Russell,203944,Julius Randle,pass over head
28,21500458-112-1,21500458-112,dribble-hand-off,FALSE,2,11:53,13.15,203087,Jeremy Lamb,2744,Al Jefferson,post entry
29,21500458-121-1,21500458-121,dribble-hand-off,FALSE,2,11:00,13.48,1626163,Frank Kaminsky,202391,Jeremy Lin,
30,21500458-135-1,21500458-135,dribble-hand-off,FALSE,2,10:19,10.22,1626156,D'Angelo Russell,203944,Julius Randle,pass over head
31,21500458-135-2,21500458-135,dribble-hand-off,FALSE,2,10:19,10.17,203944,Julius Randle,101138,Brandon Bass,pass over head
32,21500458-138-1,21500458-138,dribble-hand-off,FALSE,2,9:55,14.53,101138,Brandon Bass,101150,Lou Williams,
33,21500458-148-1,21500458-148,dribble-hand-off,FALSE,2,9:13,16.12,1626156,D'Angelo Russell,977,Kobe Bryant,
34,21500458-155-1,21500458-155,dribble-hand-off,TRUE,2,8:31,9.64,101138,Brandon Bass,101150,Lou Williams,
35,21500458-161-1,21500458-161,dribble-hand-off,FALSE,2,8:16,19.66,203087,Jeremy Lamb,203798,PJ Hairston,
36,21500458-167-1,21500458-167,dribble-hand-off,FALSE,2,7:51,17.61,1626163,Frank Kaminsky,201587,Nicolas Batum,
37,21500458-170-1,21500458-170,dribble-hand-off,FALSE,2,7:34,15.97,1626156,D'Angelo Russell,101138,Brandon Bass,
38,21500458-170-2,21500458-170,dribble-hand-off,TRUE,2,7:32,14.96,101138,Brandon Bass,977,Kobe Bryant,
39,21500458-174-1,21500458-174,dribble-hand-off,FALSE,2,7:06,12.07,1626156,D'Angelo Russell,101150,Lou Williams,
40,21500458-187-1,21500458-187,dribble-hand-off,TRUE,2,5:56,9.7,1626163,Frank Kaminsky,201587,Nicolas Batum,
41,21500458-195-1,21500458-195,dribble-hand-off,FALSE,2,5:32,13.85,203903,Jordan Clarkson,201579,Roy Hibbert,"screen, no pass"
42,21500458-208-1,21500458-208,dribble-hand-off,TRUE,2,3:51,9.95,977,Kobe Bryant,1626204,Larry Nance Jr.,borderline
43,21500458-214-1,21500458-214,dribble-hand-off,TRUE,2,3:32,13.62,101107,Marvin Williams,202689,Kemba Walker,
44,21500458-219-1,21500458-219,dribble-hand-off,FALSE,2,3:27,13.79,203903,Jordan Clarkson,101150,Lou Williams,
45,21500458-223-1,21500458-223,dribble-hand-off,FALSE,2,2:32,11.41,201587,Nicolas Batum,203469,Cody Zeller,pick n' roll
46,21500458-225-1,21500458-225,dribble-hand-off,FALSE,2,2:02,16.11,202689,Kemba Walker,101107,Marvin Williams,"screen, no pass"
47,21500458-225-2,21500458-225,dribble-hand-off,FALSE,2,2:02,16,101107,Marvin Williams,202689,Kemba Walker,"screen, no pass"
48,21500458-225-3,21500458-225,dribble-hand-off,FALSE,2,2:01,15.65,202689,Kemba Walker,101107,Marvin Williams,"screen, no pass"
49,21500458-225-4,21500458-225,dribble-hand-off,FALSE,2,2:01,15.41,101107,Marvin Williams,202689,Kemba Walker,"screen, no pass"
