,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500482-002-1,21500482-002,dribble-hand-off,FALSE,1,11:48,14.44,2749,Jameer Nelson,203123,Kostas Papanikolaou,
1,21500482-019-1,21500482-019,dribble-hand-off,TRUE,1,10:37,8.68,203943,Noah Vonleh,203459,Allen Crabbe,
2,21500482-031-1,21500482-031,dribble-hand-off,FALSE,1,9:07,23.98,203943,Noah Vonleh,203468,CJ McCollum,
3,21500482-032-1,21500482-032,dribble-hand-off,TRUE,1,8:47,17.21,203914,Gary Harris,2749,Jameer Nelson,
4,21500482-035-1,21500482-035,dribble-hand-off,FALSE,1,8:16,13.21,202702,Kenneth Faried,203123,Kostas Papanikolaou,
5,21500482-045-1,21500482-045,dribble-hand-off,TRUE,1,6:45,18.84,203468,CJ McCollum,202329,Al-Farouq Aminu,
6,21500482-045-2,21500482-045,dribble-hand-off,TRUE,1,6:43,17.52,202329,Al-Farouq Aminu,203943,Noah Vonleh,
7,21500482-045-3,21500482-045,dribble-hand-off,FALSE,1,6:43,16.92,203943,Noah Vonleh,203468,CJ McCollum,
8,21500482-050-1,21500482-050,dribble-hand-off,FALSE,1,6:20,13.64,203468,CJ McCollum,203459,Allen Crabbe,
9,21500482-062-1,21500482-062,dribble-hand-off,TRUE,1,5:30,7.61,203486,Mason Plumlee,203468,CJ McCollum,
10,21500482-063-1,21500482-063,dribble-hand-off,FALSE,1,5:07,14.35,2749,Jameer Nelson,203530,Joffrey Lauvergne,pick n' roll
11,21500482-068-1,21500482-068,dribble-hand-off,FALSE,1,4:23,16.2,203943,Noah Vonleh,203486,Mason Plumlee,
12,21500482-068-2,21500482-068,dribble-hand-off,FALSE,1,4:23,15.92,203486,Mason Plumlee,203468,CJ McCollum,
13,21500482-070-1,21500482-070,dribble-hand-off,FALSE,1,3:51,11.29,202329,Al-Farouq Aminu,201945,Gerald Henderson,
14,21500482-078-1,21500482-078,dribble-hand-off,TRUE,1,3:27,22.52,203914,Gary Harris,203115,Will Barton,
15,21500482-083-1,21500482-083,dribble-hand-off,FALSE,1,2:39,16.32,203086,Meyers Leonard,202329,Al-Farouq Aminu,
16,21500482-095-1,21500482-095,dribble-hand-off,FALSE,1,1:02,14.13,202329,Al-Farouq Aminu,203468,CJ McCollum,
17,21500482-108-1,21500482-108,dribble-hand-off,FALSE,1,0:04,0,203115,Will Barton,201589,Darrell Arthur,
18,21500482-115-1,21500482-115,dribble-hand-off,FALSE,2,11:25,12.3,200751,Randy Foye,203999,Nikola Jokic,turnover
19,21500482-117-1,21500482-117,dribble-hand-off,TRUE,2,11:08,14.12,201589,Darrell Arthur,200751,Randy Foye,
20,21500482-119-1,21500482-119,dribble-hand-off,FALSE,2,10:45,9.01,203086,Meyers Leonard,202334,Ed Davis,pass over head
21,21500482-119-2,21500482-119,dribble-hand-off,FALSE,2,10:45,8.61,202334,Ed Davis,203090,Maurice Harkless,pass over head
