,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500480-002-1,21500480-002,dribble-hand-off,FALSE,1,11:05,18.53,201575,Brandon Rush,203110,Draymond Green,
1,21500480-007-1,21500480-007,dribble-hand-off,TRUE,1,10:18,13.82,2585,Zaza Pachulia,202718,Chandler Parsons,
2,21500480-034-1,21500480-034,dribble-hand-off,FALSE,1,6:13,21.46,200826,Jose Juan Barea,202718,Chandler Parsons,transition
3,21500480-035-1,21500480-035,dribble-hand-off,TRUE,1,5:50,6.23,203110,Draymond Green,202691,Klay Thompson,borderline
4,21500480-057-1,21500480-057,dribble-hand-off,FALSE,1,4:15,13.25,2738,Andre Iguodala,203110,Draymond Green,post entry pass
5,21500480-064-1,21500480-064,dribble-hand-off,TRUE,1,3:26,14.75,2738,Andre Iguodala,202691,Klay Thompson,
6,21500480-069-1,21500480-069,dribble-hand-off,FALSE,1,2:54,18.59,203110,Draymond Green,202691,Klay Thompson,
7,21500480-081-1,21500480-081,dribble-hand-off,FALSE,1,1:48,12.08,203110,Draymond Green,202691,Klay Thompson,
8,21500480-109-1,21500480-109,dribble-hand-off,FALSE,2,10:38,20.66,101109,Raymond Felton,202718,Chandler Parsons,transition
9,21500480-109-2,21500480-109,dribble-hand-off,TRUE,2,10:37,19.06,202718,Chandler Parsons,2734,Devin Harris,
10,21500480-123-1,21500480-123,dribble-hand-off,FALSE,2,9:12,17.08,2738,Andre Iguodala,202691,Klay Thompson,
11,21500480-123-2,21500480-123,dribble-hand-off,TRUE,2,9:08,13.12,203949,James Michael McAdoo,203546,Ian Clark,3pt shot
12,21500480-123-3,21500480-123,dribble-hand-off,FALSE,2,9:07,11.87,203546,Ian Clark,203949,James Michael McAdoo,3pt shot
13,21500480-125-1,21500480-125,dribble-hand-off,FALSE,2,8:57,18.62,200826,Jose Juan Barea,1717,Dirk Nowitzki,
14,21500480-127-1,21500480-127,dribble-hand-off,FALSE,2,8:13,19.58,101109,Raymond Felton,1717,Dirk Nowitzki,
15,21500480-150-1,21500480-150,dribble-hand-off,TRUE,2,6:54,20.45,101111,Charlie Villanueva,200826,Jose Juan Barea,
16,21500480-150-2,21500480-150,dribble-hand-off,TRUE,2,6:49,15.94,2585,Zaza Pachulia,2734,Devin Harris,
17,21500480-180-1,21500480-180,dribble-hand-off,FALSE,2,5:07,9.5,202083,Wesley Matthews,101111,Charlie Villanueva,
18,21500480-225-1,21500480-225,dribble-hand-off,FALSE,2,1:43,14.69,2738,Andre Iguodala,201575,Brandon Rush,
19,21500480-251-1,21500480-251,dribble-hand-off,FALSE,3,11:05,17.96,200826,Jose Juan Barea,1717,Dirk Nowitzki,
20,21500480-280-1,21500480-280,dribble-hand-off,FALSE,3,8:15,21.45,200826,Jose Juan Barea,202083,Wesley Matthews,"transition, loose ball"
21,21500480-288-1,21500480-288,dribble-hand-off,FALSE,3,6:59,16.62,203110,Draymond Green,202691,Klay Thompson,hitting shooter of curl screen
22,21500480-290-1,21500480-290,dribble-hand-off,FALSE,3,6:51,18.72,200826,Jose Juan Barea,1717,Dirk Nowitzki,
23,21500480-305-1,21500480-305,dribble-hand-off,FALSE,3,6:10,20.59,2738,Andre Iguodala,201575,Brandon Rush,
24,21500480-306-1,21500480-306,dribble-hand-off,FALSE,3,5:58,14.55,101109,Raymond Felton,203939,Dwight Powell,to re-establish dribble
25,21500480-306-2,21500480-306,dribble-hand-off,TRUE,3,5:58,14.15,203939,Dwight Powell,101109,Raymond Felton,to re-establish dribble
26,21500480-306-3,21500480-306,dribble-hand-off,TRUE,3,5:53,10.29,2585,Zaza Pachulia,2734,Devin Harris,
27,21500480-308-1,21500480-308,dribble-hand-off,TRUE,3,5:22,15.4,203939,Dwight Powell,202083,Wesley Matthews,
28,21500480-308-2,21500480-308,dribble-hand-off,FALSE,3,5:21,14.13,202083,Wesley Matthews,2734,Devin Harris,
29,21500480-308-3,21500480-308,dribble-hand-off,FALSE,3,5:18,12.11,2734,Devin Harris,101109,Raymond Felton,
30,21500480-309-1,21500480-309,dribble-hand-off,TRUE,3,4:50,11.82,203110,Draymond Green,202691,Klay Thompson,"borderline, late pass"
31,21500480-310-1,21500480-310,dribble-hand-off,FALSE,3,4:32,15.71,203939,Dwight Powell,101109,Raymond Felton,
32,21500480-343-1,21500480-343,dribble-hand-off,FALSE,3,2:00,14.09,101109,Raymond Felton,1717,Dirk Nowitzki,
33,21500480-343-2,21500480-343,dribble-hand-off,TRUE,3,2:00,13.45,1717,Dirk Nowitzki,101109,Raymond Felton,
34,21500480-343-3,21500480-343,dribble-hand-off,FALSE,3,1:58,11.42,101109,Raymond Felton,1717,Dirk Nowitzki,
