,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500586-005-1,21500586-005,dribble-hand-off,FALSE,1,11:30,16.1,101108,Chris Paul,200755,JJ Redick,
1,21500586-005-2,21500586-005,dribble-hand-off,TRUE,1,11:29,15.56,200755,JJ Redick,101108,Chris Paul,
2,21500586-010-1,21500586-010,dribble-hand-off,FALSE,1,10:54,14.42,2757,Beno Udrih,2736,Luol Deng,
3,21500586-010-2,21500586-010,dribble-hand-off,TRUE,1,10:53,13.51,2736,Luol Deng,2757,Beno Udrih,FAKE
4,21500586-010-3,21500586-010,dribble-hand-off,FALSE,1,10:52,13.27,2757,Beno Udrih,2736,Luol Deng,FAKE
5,21500586-010-4,21500586-010,dribble-hand-off,TRUE,1,10:50,11.24,2736,Luol Deng,2548,Dwyane Wade,
6,21500586-010-5,21500586-010,dribble-hand-off,FALSE,1,10:47,7.74,2548,Dwyane Wade,2547,Chris Bosh,
7,21500586-016-1,21500586-016,dribble-hand-off,FALSE,1,10:12,16.53,202332,Cole Aldrich,101108,Chris Paul,"screen, no pass"
8,21500586-016-2,21500586-016,dribble-hand-off,FALSE,1,10:08,12.8,101108,Chris Paul,202332,Cole Aldrich,pocket pass
9,21500586-024-1,21500586-024,dribble-hand-off,FALSE,1,9:28,21.66,2757,Beno Udrih,2547,Chris Bosh,
10,21500586-024-2,21500586-024,dribble-hand-off,FALSE,1,9:17,21.33,1626159,Justise Winslow,2757,Beno Udrih,
11,21500586-030-1,21500586-030,dribble-hand-off,FALSE,1,8:27,10,2757,Beno Udrih,1626159,Justise Winslow,
12,21500586-033-1,21500586-033,dribble-hand-off,FALSE,1,7:27,13.89,101108,Chris Paul,1718,Paul Pierce,
13,21500586-034-1,21500586-034,dribble-hand-off,FALSE,1,7:11,16.92,2548,Dwyane Wade,2547,Chris Bosh,loose ball
14,21500586-035-1,21500586-035,dribble-hand-off,FALSE,1,6:53,17.45,200755,JJ Redick,1718,Paul Pierce,
15,21500586-050-1,21500586-050,dribble-hand-off,FALSE,1,6:12,14.06,101108,Chris Paul,1718,Paul Pierce,
16,21500586-058-1,21500586-058,dribble-hand-off,FALSE,1,5:50,10.54,201601,Luc Mbah a Moute,101108,Chris Paul,"screen, no pass"
17,21500586-062-1,21500586-062,dribble-hand-off,TRUE,1,5:24,19.99,2757,Beno Udrih,204020,Tyler Johnson,
18,21500586-062-2,21500586-062,dribble-hand-off,FALSE,1,5:23,18.31,204020,Tyler Johnson,2757,Beno Udrih,
19,21500586-066-1,21500586-066,dribble-hand-off,TRUE,1,4:53,9.92,2547,Chris Bosh,101123,Gerald Green,
20,21500586-069-1,21500586-069,dribble-hand-off,FALSE,1,4:36,11.84,101108,Chris Paul,201601,Luc Mbah a Moute,
21,21500586-070-1,21500586-070,dribble-hand-off,FALSE,1,4:12,16.16,1626159,Justise Winslow,2547,Chris Bosh,post entry pass
22,21500586-104-1,21500586-104,dribble-hand-off,TRUE,1,2:03,14.47,203143,Pablo Prigioni,2746,Josh Smith,
23,21500586-104-2,21500586-104,dribble-hand-off,TRUE,1,2:01,12.42,2746,Josh Smith,203085,Austin Rivers,
24,21500586-107-1,21500586-107,dribble-hand-off,TRUE,1,1:31,16.31,2746,Josh Smith,2037,Jamal Crawford,
25,21500586-107-2,21500586-107,dribble-hand-off,FALSE,1,1:26,10.85,2746,Josh Smith,2037,Jamal Crawford,
26,21500586-113-1,21500586-113,dribble-hand-off,FALSE,1,0:51,13.62,204020,Tyler Johnson,2548,Dwyane Wade,
27,21500586-114-1,21500586-114,dribble-hand-off,FALSE,1,0:33,10.69,203143,Pablo Prigioni,202325,Wesley Johnson,
28,21500586-117-1,21500586-117,dribble-hand-off,FALSE,1,0:21,15.06,2548,Dwyane Wade,202355,Hassan Whiteside,"screen, no pass"
29,21500586-117-2,21500586-117,dribble-hand-off,FALSE,1,0:21,14.77,202355,Hassan Whiteside,2548,Dwyane Wade,"screen, no pass"
30,21500586-126-1,21500586-126,dribble-hand-off,TRUE,2,11:43,22.96,203143,Pablo Prigioni,2037,Jamal Crawford,
31,21500586-128-1,21500586-128,dribble-hand-off,FALSE,2,11:23,11.14,204020,Tyler Johnson,2548,Dwyane Wade,
32,21500586-152-1,21500586-152,dribble-hand-off,FALSE,2,10:09,21.01,203143,Pablo Prigioni,2037,Jamal Crawford,
33,21500586-157-1,21500586-157,dribble-hand-off,FALSE,2,9:27,14.54,204020,Tyler Johnson,2548,Dwyane Wade,
34,21500586-159-1,21500586-159,dribble-hand-off,TRUE,2,9:08,13.95,202332,Cole Aldrich,2037,Jamal Crawford,
35,21500586-173-1,21500586-173,dribble-hand-off,TRUE,2,8:20,13.63,202332,Cole Aldrich,2037,Jamal Crawford,
36,21500586-175-1,21500586-175,dribble-hand-off,FALSE,2,8:04,17.08,2757,Beno Udrih,2548,Dwyane Wade,
37,21500586-177-1,21500586-177,dribble-hand-off,FALSE,2,7:33,9.88,101108,Chris Paul,202332,Cole Aldrich,pass over head
38,21500586-177-2,21500586-177,dribble-hand-off,FALSE,2,7:32,9.46,202332,Cole Aldrich,200755,JJ Redick,pass over head
39,21500586-178-1,21500586-178,dribble-hand-off,FALSE,2,7:13,11.58,2736,Luol Deng,2548,Dwyane Wade,"borderline, long pass and shoots before screen"
40,21500586-179-1,21500586-179,dribble-hand-off,FALSE,2,6:52,9.12,202332,Cole Aldrich,101108,Chris Paul,"screen, no pass"
41,21500586-185-1,21500586-185,dribble-hand-off,TRUE,2,6:53,9.72,200755,JJ Redick,101108,Chris Paul,
42,21500586-187-1,21500586-187,dribble-hand-off,TRUE,2,6:37,14.66,2547,Chris Bosh,2757,Beno Udrih,
43,21500586-187-2,21500586-187,dribble-hand-off,TRUE,2,6:34,10.68,2757,Beno Udrih,101123,Gerald Green,
44,21500586-190-1,21500586-190,dribble-hand-off,TRUE,2,5:53,11.54,2547,Chris Bosh,2757,Beno Udrih,
45,21500586-194-1,21500586-194,dribble-hand-off,TRUE,2,5:04,13.58,202332,Cole Aldrich,200755,JJ Redick,
46,21500586-195-1,21500586-195,dribble-hand-off,FALSE,2,4:50,15.91,2757,Beno Udrih,2547,Chris Bosh,post entry pass
47,21500586-200-1,21500586-200,dribble-hand-off,FALSE,2,4:13,9.4,2757,Beno Udrih,101123,Gerald Green,
48,21500586-207-1,21500586-207,dribble-hand-off,FALSE,2,3:18,12.96,2547,Chris Bosh,202355,Hassan Whiteside,
49,21500586-209-1,21500586-209,dribble-hand-off,FALSE,2,2:46,15.59,2757,Beno Udrih,2547,Chris Bosh,post entry pass
50,21500586-210-1,21500586-210,dribble-hand-off,TRUE,2,2:36,18.3,1718,Paul Pierce,200755,JJ Redick,
51,21500586-215-1,21500586-215,dribble-hand-off,TRUE,2,1:59,15.09,201601,Luc Mbah a Moute,101108,Chris Paul,
52,21500586-221-1,21500586-221,dribble-hand-off,FALSE,2,1:41,0.52,2736,Luol Deng,101123,Gerald Green,pass over head
53,21500586-231-1,21500586-231,dribble-hand-off,FALSE,2,0:59,11.08,2548,Dwyane Wade,2757,Beno Udrih,pass over head
54,21500586-259-1,21500586-259,dribble-hand-off,TRUE,3,11:48,9.65,202332,Cole Aldrich,200755,JJ Redick,
55,21500586-260-1,21500586-260,dribble-hand-off,FALSE,3,11:29,12.44,2736,Luol Deng,2547,Chris Bosh,post entry pass
