,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500584-010-1,21500584-010,dribble-hand-off,FALSE,1,11:25,2.92,202329,Al-Farouq Aminu,203081,Damian Lillard,
1,21500584-012-1,21500584-012,dribble-hand-off,FALSE,1,10:43,7.74,203081,Damian Lillard,203486,Mason Plumlee,pick n' roll
2,21500584-014-1,21500584-014,dribble-hand-off,TRUE,1,9:56,9.9,1626168,Trey Lyles,203526,Raul Neto,
3,21500584-020-1,21500584-020,dribble-hand-off,FALSE,1,9:27,11.99,203468,CJ McCollum,203081,Damian Lillard,
4,21500584-020-2,21500584-020,dribble-hand-off,FALSE,1,9:02,16.58,203081,Damian Lillard,202329,Al-Farouq Aminu,
5,21500584-025-1,21500584-025,dribble-hand-off,FALSE,1,8:51,17.48,203918,Rodney Hood,1626168,Trey Lyles,
6,21500584-025-2,21500584-025,dribble-hand-off,TRUE,1,8:48,15.09,1626168,Trey Lyles,202330,Gordon Hayward,
7,21500584-026-1,21500584-026,dribble-hand-off,TRUE,1,8:25,12.06,203486,Mason Plumlee,203468,CJ McCollum,
8,21500584-029-1,21500584-029,dribble-hand-off,FALSE,1,8:12,15.44,202329,Al-Farouq Aminu,203943,Noah Vonleh,
9,21500584-048-1,21500584-048,dribble-hand-off,FALSE,1,6:55,7.65,203486,Mason Plumlee,203081,Damian Lillard,
10,21500584-054-1,21500584-054,dribble-hand-off,TRUE,1,6:18,10.79,1626168,Trey Lyles,203526,Raul Neto,
11,21500584-054-2,21500584-054,dribble-hand-off,FALSE,1,6:12,4.63,202330,Gordon Hayward,203497,Rudy Gobert,
12,21500584-054-3,21500584-054,dribble-hand-off,FALSE,1,6:12,4.55,203497,Rudy Gobert,202330,Gordon Hayward,
13,21500584-087-1,21500584-087,dribble-hand-off,TRUE,1,3:03,12.02,202344,Trevor Booker,203504,Trey Burke,
14,21500584-087-2,21500584-087,dribble-hand-off,FALSE,1,3:01,10.02,203504,Trey Burke,202344,Trevor Booker,
15,21500584-087-3,21500584-087,dribble-hand-off,FALSE,1,2:40,13.9,203504,Trey Burke,202344,Trevor Booker,
16,21500584-089-1,21500584-089,dribble-hand-off,FALSE,1,2:37,13.34,202344,Trevor Booker,203481,Jeff Withey,
17,21500584-089-2,21500584-089,dribble-hand-off,TRUE,1,2:33,9.26,203481,Jeff Withey,202330,Gordon Hayward,FAKE
18,21500584-102-1,21500584-102,dribble-hand-off,FALSE,1,0:54,11.91,203504,Trey Burke,202344,Trevor Booker,
19,21500584-102-2,21500584-102,dribble-hand-off,TRUE,1,0:53,11.11,202344,Trevor Booker,203504,Trey Burke,
20,21500584-112-1,21500584-112,dribble-hand-off,TRUE,2,11:50,12.02,202334,Ed Davis,203090,Maurice Harkless,
21,21500584-118-1,21500584-118,dribble-hand-off,TRUE,2,10:50,12.42,202344,Trevor Booker,203504,Trey Burke,
22,21500584-118-2,21500584-118,dribble-hand-off,TRUE,2,10:46,7.7,202344,Trevor Booker,204060,Joe Ingles,
23,21500584-122-1,21500584-122,dribble-hand-off,TRUE,2,10:17,11.21,202344,Trevor Booker,203504,Trey Burke,
24,21500584-143-1,21500584-143,dribble-hand-off,FALSE,2,8:08,21.49,203918,Rodney Hood,202344,Trevor Booker,pass over head
25,21500584-143-2,21500584-143,dribble-hand-off,FALSE,2,8:08,21.37,202344,Trevor Booker,203504,Trey Burke,pass over head
26,21500584-143-3,21500584-143,dribble-hand-off,FALSE,2,8:05,18.45,203504,Trey Burke,202344,Trevor Booker,turnover
27,21500584-147-1,21500584-147,dribble-hand-off,TRUE,2,7:35,12.09,203497,Rudy Gobert,203504,Trey Burke,denies screen
28,21500584-147-2,21500584-147,dribble-hand-off,TRUE,2,7:31,6.66,203497,Rudy Gobert,204060,Joe Ingles,layup
29,21500584-153-1,21500584-153,dribble-hand-off,TRUE,2,7:01,12.68,202334,Ed Davis,203468,CJ McCollum,immediate jumpshot
30,21500584-182-1,21500584-182,dribble-hand-off,TRUE,2,4:24,13.61,203497,Rudy Gobert,203918,Rodney Hood,denies screen
31,21500584-201-1,21500584-201,dribble-hand-off,FALSE,2,2:50,7.34,203090,Maurice Harkless,203081,Damian Lillard,
32,21500584-224-1,21500584-224,dribble-hand-off,FALSE,2,1:42,21.74,203081,Damian Lillard,202329,Al-Farouq Aminu,
33,21500584-231-1,21500584-231,dribble-hand-off,FALSE,2,1:20,6.43,203481,Jeff Withey,203504,Trey Burke,
34,21500584-255-1,21500584-255,dribble-hand-off,TRUE,3,11:31,9.91,203497,Rudy Gobert,203526,Raul Neto,
35,21500584-268-1,21500584-268,dribble-hand-off,FALSE,3,9:59,23.8,203943,Noah Vonleh,203081,Damian Lillard,
36,21500584-269-1,21500584-269,dribble-hand-off,FALSE,3,9:45,24,202330,Gordon Hayward,1626168,Trey Lyles,fastbreak
37,21500584-270-1,21500584-270,dribble-hand-off,TRUE,3,9:28,10.62,202329,Al-Farouq Aminu,203468,CJ McCollum,
38,21500584-284-1,21500584-284,dribble-hand-off,TRUE,3,8:01,6.25,202344,Trevor Booker,202330,Gordon Hayward,
39,21500584-284-2,21500584-284,dribble-hand-off,FALSE,3,7:59,4.29,202330,Gordon Hayward,202344,Trevor Booker,
40,21500584-295-1,21500584-295,dribble-hand-off,TRUE,3,6:39,12.4,203486,Mason Plumlee,202329,Al-Farouq Aminu,denies screen
41,21500584-300-1,21500584-300,dribble-hand-off,TRUE,3,5:48,9.14,203486,Mason Plumlee,203081,Damian Lillard,"also a fake, two cutters pass"
42,21500584-300-2,21500584-300,dribble-hand-off,FALSE,3,5:47,8.98,203081,Damian Lillard,203468,CJ McCollum,pass over head
43,21500584-311-1,21500584-311,dribble-hand-off,TRUE,3,4:43,11.87,202344,Trevor Booker,202330,Gordon Hayward,
44,21500584-314-1,21500584-314,dribble-hand-off,FALSE,3,4:20,12.53,202344,Trevor Booker,203504,Trey Burke,
45,21500584-315-1,21500584-315,dribble-hand-off,FALSE,3,3:42,17.25,203081,Damian Lillard,202329,Al-Farouq Aminu,
46,21500584-332-1,21500584-332,dribble-hand-off,TRUE,3,3:32,22.71,202334,Ed Davis,202329,Al-Farouq Aminu,
47,21500584-341-1,21500584-341,dribble-hand-off,TRUE,3,2:13,13.36,203086,Meyers Leonard,203459,Allen Crabbe,
48,21500584-370-1,21500584-370,dribble-hand-off,TRUE,4,11:10,12.74,1626168,Trey Lyles,203918,Rodney Hood,
49,21500584-370-2,21500584-370,dribble-hand-off,FALSE,4,11:09,11.94,203918,Rodney Hood,1626168,Trey Lyles,"screen, no pass"
50,21500584-370-3,21500584-370,dribble-hand-off,FALSE,4,11:09,11.86,1626168,Trey Lyles,203918,Rodney Hood,"screen, no pass"
51,21500584-376-1,21500584-376,dribble-hand-off,FALSE,4,9:52,9.46,204060,Joe Ingles,203918,Rodney Hood,pass over head
52,21500584-376-2,21500584-376,dribble-hand-off,FALSE,4,9:52,9.22,203918,Rodney Hood,1626168,Trey Lyles,pass over head
53,21500584-412-1,21500584-412,dribble-hand-off,TRUE,4,7:50,14.06,203918,Rodney Hood,202330,Gordon Hayward,bad pass
54,21500584-445-1,21500584-445,dribble-hand-off,FALSE,4,4:44,17.27,202344,Trevor Booker,203918,Rodney Hood,
55,21500584-448-1,21500584-448,dribble-hand-off,FALSE,4,4:36,9.94,203918,Rodney Hood,202344,Trevor Booker,
56,21500584-454-1,21500584-454,dribble-hand-off,FALSE,4,3:26,17.66,202330,Gordon Hayward,202344,Trevor Booker,
57,21500584-490-1,21500584-490,dribble-hand-off,FALSE,4,0:47,11.11,203481,Jeff Withey,203504,Trey Burke,
58,21500584-490-2,21500584-490,dribble-hand-off,FALSE,4,0:44,9.18,204060,Joe Ingles,203504,Trey Burke,
