,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500599-015-1,21500599-015,dribble-hand-off,FALSE,1,8:38,0,201952,Jeff Teague,201143,Al Horford,"screen, no pass"
1,21500599-015-2,21500599-015,dribble-hand-off,FALSE,1,8:37,0,201952,Jeff Teague,201143,Al Horford,"screen, no pass"
2,21500599-055-1,21500599-055,dribble-hand-off,FALSE,1,5:16,0,201952,Jeff Teague,200757,Thabo Sefolosha,
3,21500599-055-2,21500599-055,dribble-hand-off,FALSE,1,5:11,0,2594,Kyle Korver,201952,Jeff Teague,
4,21500599-065-1,21500599-065,dribble-hand-off,FALSE,1,4:42,0,201952,Jeff Teague,200757,Thabo Sefolosha,transition
5,21500599-082-1,21500599-082,dribble-hand-off,FALSE,1,3:39,0,203114,Khris Middleton,203089,John Henson,
6,21500599-082-3,21500599-082,dribble-hand-off,FALSE,1,3:35,0,203948,Johnny O'Bryant,203089,John Henson,
7,21500599-082-6,21500599-082,dribble-hand-off,TRUE,1,3:34,0,203089,John Henson,203948,Johnny O'Bryant,
8,21500599-082-7,21500599-082,dribble-hand-off,FALSE,1,3:31,0,203948,Johnny O'Bryant,203089,John Henson,
9,21500599-101-1,21500599-101,dribble-hand-off,FALSE,1,2:25,0,203953,Jabari Parker,203114,Khris Middleton,transition
10,21500599-106-1,21500599-106,dribble-hand-off,FALSE,1,1:59,0,200757,Thabo Sefolosha,201143,Al Horford,
11,21500599-106-2,21500599-106,dribble-hand-off,TRUE,1,1:54,0,200757,Thabo Sefolosha,203471,Dennis Schroder,"borderline, off reb"
12,21500599-119-1,21500599-119,dribble-hand-off,TRUE,1,0:53,0,203948,Johnny O'Bryant,203114,Khris Middleton,
13,21500599-119-2,21500599-119,dribble-hand-off,FALSE,1,0:34,0,203898,Tyler Ennis,203089,John Henson,
14,21500599-119-3,21500599-119,dribble-hand-off,TRUE,1,0:32,0,203089,John Henson,203507,Giannis Antetokounmpo,
15,21500599-119-4,21500599-119,dribble-hand-off,FALSE,1,0:31,0,203507,Giannis Antetokounmpo,203114,Khris Middleton,
16,21500599-119-5,21500599-119,dribble-hand-off,FALSE,1,0:24,0,203507,Giannis Antetokounmpo,203089,John Henson,post entry pass
17,21500599-139-1,21500599-139,dribble-hand-off,FALSE,2,10:59,0,203471,Dennis Schroder,201143,Al Horford,"screen, no pass"
18,21500599-143-1,21500599-143,dribble-hand-off,FALSE,2,10:38,0,1626173,Rashad Vaughn,202328,Greg Monroe,
19,21500599-148-1,21500599-148,dribble-hand-off,FALSE,2,9:33,0,203898,Tyler Ennis,202328,Greg Monroe,
20,21500599-154-1,21500599-154,dribble-hand-off,FALSE,2,8:43,0,203145,Kent Bazemore,203501,Tim Hardaway Jr.,
21,21500599-154-2,21500599-154,dribble-hand-off,FALSE,2,8:40,0,203501,Tim Hardaway Jr.,203118,Mike Scott,
