,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500660-003-1,21500660-003,dribble-hand-off,FALSE,1,11:50,16.8,201143,Al Horford,203145,Kent Bazemore,
1,21500660-020-1,21500660-020,dribble-hand-off,FALSE,1,9:07,18.17,201952,Jeff Teague,201168,Tiago Splitter,
2,21500660-020-2,21500660-020,dribble-hand-off,TRUE,1,9:05,16.35,201168,Tiago Splitter,201952,Jeff Teague,
3,21500660-044-1,21500660-044,dribble-hand-off,FALSE,1,6:45,3.52,2594,Kyle Korver,200757,Thabo Sefolosha,
4,21500660-062-1,21500660-062,dribble-hand-off,FALSE,1,5:27,23.41,200757,Thabo Sefolosha,2594,Kyle Korver,
5,21500660-077-1,21500660-077,dribble-hand-off,TRUE,1,3:40,17.11,2199,Tyson Chandler,1626164,Devin Booker,
6,21500660-093-1,21500660-093,dribble-hand-off,TRUE,1,2:46,5.46,203118,Mike Scott,203145,Kent Bazemore,
7,21500660-094-1,21500660-094,dribble-hand-off,TRUE,1,2:29,15.62,203141,Mirza Teletovic,1626164,Devin Booker,
8,21500660-127-1,21500660-127,dribble-hand-off,FALSE,2,11:32,22.08,2199,Tyson Chandler,203485,Lorenzo Brown,
9,21500660-131-1,21500660-131,dribble-hand-off,FALSE,2,11:00,9.71,203485,Lorenzo Brown,2199,Tyson Chandler,"screen, no pass"
10,21500660-136-1,21500660-136,dribble-hand-off,TRUE,2,10:44,8.87,201143,Al Horford,203471,Dennis Schroder,bad pass
11,21500660-139-1,21500660-139,dribble-hand-off,FALSE,2,10:18,10.04,203141,Mirza Teletovic,203485,Lorenzo Brown,
12,21500660-142-1,21500660-142,dribble-hand-off,FALSE,2,9:35,9.19,201603,Sonny Weems,203141,Mirza Teletovic,
13,21500660-154-1,21500660-154,dribble-hand-off,TRUE,2,8:40,13.83,2199,Tyson Chandler,201603,Sonny Weems,FAKE
14,21500660-154-2,21500660-154,dribble-hand-off,FALSE,2,8:39,13.47,201603,Sonny Weems,2199,Tyson Chandler,FAKE
15,21500660-157-1,21500660-157,dribble-hand-off,FALSE,2,7:56,8.37,203471,Dennis Schroder,201143,Al Horford,
16,21500660-157-2,21500660-157,dribble-hand-off,TRUE,2,7:55,7.79,201143,Al Horford,203471,Dennis Schroder,
