,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,21500463,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,8:11 PM
1,0,10,1,21500463,Jump Ball Gasol vs. Biyombo: Tip to Scola,,12:00,1,4,5,5,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,,,,8:11 PM
2,1,1,2,21500463,,,11:46,1,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,Feb-00,-2,DeRozan 15' Jump Shot (2 PTS),8:11 PM
3,1,2,3,21500463,MISS Butler 26' 3PT Jump Shot,,11:26,1,4,0,0,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,8:11 PM
4,0,4,4,21500463,,,11:25,1,5,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,Biyombo REBOUND (Off:0 Def:1),8:11 PM
5,1,2,5,21500463,,,11:12,1,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS DeRozan 15' Jump Shot,8:12 PM
6,0,4,6,21500463,Gasol REBOUND (Off:0 Def:1),,11:11,1,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,8:12 PM
7,40,5,7,21500463,Mirotic Out of Bounds Lost Ball Turnover (P1.T1),,11:08,1,4,0,0,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,8:12 PM
8,1,2,8,21500463,,,10:52,1,5,0,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS Carroll 17' Jump Shot,8:12 PM
9,0,4,9,21500463,Mirotic REBOUND (Off:0 Def:1),,10:50,1,4,0,0,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,8:12 PM
10,1,6,10,21500463,,,10:46,1,5,4,1,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,201959,Taj Gibson,CHI,Chicago,1610612741,Bulls,0,,,,,,,,Scola P.FOUL (P1.T1) (T.Washington),8:12 PM
11,2,6,11,21500463,,,10:35,1,5,4,1,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,,,Carroll S.FOUL (P1.T2) (E.Roe),8:13 PM
12,11,3,12,21500463,Gasol Free Throw 1 of 2 (1 PTS),,10:35,1,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,1-Feb,-1,,8:13 PM
13,12,3,14,21500463,MISS Gasol Free Throw 2 of 2,,10:35,1,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,8:13 PM
14,0,4,16,21500463,,,10:34,1,5,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,Scola REBOUND (Off:0 Def:1),8:13 PM
15,1,2,17,21500463,Rose BLOCK (1 BLK),,10:16,1,5,0,4,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,,,MISS Lowry 15' Jump Shot,8:14 PM
16,0,4,18,21500463,Rose REBOUND (Off:0 Def:1),,10:14,1,4,0,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,8:14 PM
17,41,1,19,21500463,Rose 2' Running Layup (2 PTS),,10:10,1,4,0,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,3-Feb,1,,8:14 PM
18,1,6,20,21500463,Rose P.FOUL (P1.T1) (T.Washington),,9:55,1,4,5,1,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,8:14 PM
19,1,2,21,21500463,,,9:41,1,5,0,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS Carroll 7' Jump Shot,8:14 PM
20,0,4,22,21500463,,,9:40,1,5,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,Biyombo REBOUND (Off:1 Def:1),8:14 PM
21,5,2,23,21500463,Gasol BLOCK (1 BLK),,9:38,1,5,0,4,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,,,MISS Biyombo 2' Layup,8:14 PM
22,0,4,24,21500463,,,9:36,1,5,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,Scola REBOUND (Off:1 Def:1),8:15 PM
23,72,1,25,21500463,,,9:35,1,5,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,3-Apr,-1,Scola 1' Putback Layup (2 PTS),8:15 PM
24,1,5,26,21500463,Gasol Bad Pass Turnover (P1.T2),,9:18,1,4,5,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Lowry STEAL (1 STL),8:15 PM
25,2,6,27,21500463,Mirotic S.FOUL (P1.T2) (B.Barnaky),,9:12,1,4,5,1,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,8:15 PM
26,11,3,28,21500463,,,9:12,1,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,3-May,-2,DeRozan Free Throw 1 of 2 (3 PTS),8:15 PM
27,12,3,30,21500463,,,9:12,1,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS DeRozan Free Throw 2 of 2,8:15 PM
28,0,4,32,21500463,Mirotic REBOUND (Off:0 Def:2),,9:11,1,4,0,0,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,8:16 PM
29,1,1,33,21500463,Rose 25' 3PT Jump Shot (5 PTS) (Butler 1 AST),,8:58,1,4,4,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,6-May,1,,8:16 PM
30,1,1,34,21500463,,,8:37,1,5,5,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,6-Jul,-1,Scola 6' Jump Shot (4 PTS) (Lowry 1 AST),8:16 PM
31,1,1,35,21500463,Gasol 13' Jump Shot (3 PTS) (Rose 1 AST),,8:23,1,4,4,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,8-Jul,1,,8:16 PM
32,108,1,36,21500463,,,8:11,1,5,5,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,8-Sep,-1,Carroll  Cutting Dunk Shot (2 PTS) (DeRozan 1 AST),8:17 PM
