,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,21500477,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,7:41 PM
1,0,10,1,21500477,Jump Ball Valanciunas vs. Gortat: Tip to Lowry,,12:00,1,4,5,4,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,,,,7:41 PM
2,45,5,2,21500477,DeRozan Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,11:39,1,4,0,1,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,7:42 PM
3,57,2,3,21500477,,,11:23,1,5,0,0,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Gortat 7' Driving Hook Shot,7:42 PM
4,0,4,4,21500477,Scola REBOUND (Off:0 Def:1),,11:23,1,4,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,7:42 PM
5,101,2,5,21500477,MISS DeRozan 4' Driving Floating Jump Shot,,11:14,1,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,7:42 PM
6,0,4,6,21500477,Valanciunas REBOUND (Off:1 Def:0),,11:13,1,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,7:42 PM
7,79,1,7,21500477,Lowry 25' 3PT Pullup Jump Shot (3 PTS) (Valanciunas 1 AST),,11:05,1,4,4,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0 - 3,3,,7:42 PM
8,1,2,8,21500477,,,10:47,1,5,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Porter Jr. 17' Jump Shot,7:43 PM
9,0,4,9,21500477,Lowry REBOUND (Off:0 Def:1),,10:46,1,4,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,7:43 PM
