,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,21500649,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,8:11 PM
1,0,10,1,21500649,Jump Ball Valanciunas vs. Stoudemire: Tip to Wade,,12:00,1,4,5,5,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,2405,Amar'e Stoudemire,MIA,Miami,1610612748,Heat,2548,Dwyane Wade,MIA,Miami,1610612748,Heat,,,,8:11 PM
2,42,2,2,21500649,,,11:41,1,5,0,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Bosh 4' Driving Layup,8:11 PM
3,0,4,3,21500649,Valanciunas REBOUND (Off:0 Def:1),,11:41,1,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:11 PM
4,1,1,4,21500649,Johnson  3PT Jump Shot (3 PTS) (DeRozan 1 AST),,11:33,1,4,4,0,201949,James Johnson,TOR,Toronto,1610612761,Raptors,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0 - 3,3,,8:11 PM
5,79,2,5,21500649,,,11:16,1,5,0,0,204020,Tyler Johnson,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Johnson 18' Pullup Jump Shot,8:12 PM
6,0,4,6,21500649,Valanciunas REBOUND (Off:0 Def:2),,11:15,1,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:12 PM
7,101,1,7,21500649,DeRozan 5' Driving Floating Jump Shot (2 PTS),,11:03,1,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,0 - 5,5,,8:12 PM
8,2,6,8,21500649,,,11:03,1,5,4,1,204020,Tyler Johnson,MIA,Miami,1610612748,Heat,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Johnson S.FOUL (P1.T1) (M.Lindsay),8:12 PM
9,10,3,9,21500649,DeRozan Free Throw 1 of 1 (3 PTS),,11:03,1,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,0 - 6,6,,8:12 PM
10,7,1,11,21500649,,,10:51,1,5,5,0,2405,Amar'e Stoudemire,MIA,Miami,1610612748,Heat,2548,Dwyane Wade,MIA,Miami,1610612748,Heat,0,,,,,,6-Feb,4,Stoudemire  Dunk (2 PTS) (Wade 1 AST),8:13 PM
11,79,2,12,21500649,MISS DeRozan 19' Pullup Jump Shot,,10:34,1,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:13 PM
12,0,4,13,21500649,,,10:33,1,5,0,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,Bosh REBOUND (Off:0 Def:1),8:13 PM
13,5,2,15,21500649,,,10:24,1,5,0,0,1626159,Justise Winslow,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Winslow 1' Layup,8:13 PM
