,candidate_id,event_id,classification_type,classification,period,game_clock,shot_clock,player_a,player_b,notes
0,21500079-004-1,21500079-004,dribble-hand-off,FALSE,1,11:19,18.84,Jose Calderon,Kristaps Porzingis,
1,21500079-007-1,21500079-007,dribble-hand-off,TRUE,1,10:32,12.35,Greg Monroe,Khris Middleton,
2,21500079-008-1,21500079-008,dribble-hand-off,FALSE,1,10:10,12.84,Robin Lopez,Carmelo Anthony,
3,21500079-008-2,21500079-008,dribble-hand-off,FALSE,1,10:10,12.21,Carmelo Anthony,Sasha Vujacic,
4,21500079-010-1,21500079-010,dribble-hand-off,FALSE,1,9:57,18.55,Giannis Antetokounmpo,Greg Monroe,
5,21500079-013-1,21500079-013,dribble-hand-off,FALSE,1,9:42,18.08,Sasha Vujacic,Robin Lopez,
6,21500079-017-1,21500079-017,dribble-hand-off,FALSE,1,9:02,19.68,Sasha Vujacic,Kristaps Porzingis,
7,21500079-018-1,21500079-018,dribble-hand-off,FALSE,1,8:45,22.2,Kristaps Porzingis,Carmelo Anthony,
8,21500079-020-1,21500079-020,dribble-hand-off,FALSE,1,8:38,21.16,Khris Middleton,Giannis Antetokounmpo,
9,21500079-022-1,21500079-022,dribble-hand-off,FALSE,1,8:22,17.55,Kristaps Porzingis,Carmelo Anthony,
10,21500079-024-1,21500079-024,dribble-hand-off,TRUE,1,8:13,8.55,Carmelo Anthony,Robin Lopez,
11,21500079-028-1,21500079-028,dribble-hand-off,FALSE,1,7:34,19.24,Tyler Ennis,Jabari Parker,
12,21500079-028-2,21500079-028,dribble-hand-off,FALSE,1,7:30,15.44,Tyler Ennis,Greg Monroe,
13,21500079-028-3,21500079-028,dribble-hand-off,FALSE,1,7:28,13.63,Greg Monroe,Giannis Antetokounmpo,
14,21500079-028-4,21500079-028,dribble-hand-off,FALSE,1,7:24,8.99,Jabari Parker,Giannis Antetokounmpo,
15,21500079-039-1,21500079-039,dribble-hand-off,FALSE,1,6:53,11.95,Greivis Vasquez,Giannis Antetokounmpo,
16,21500079-055-1,21500079-055,dribble-hand-off,FALSE,1,5:16,18.3,Sasha Vujacic,Jose Calderon,
17,21500079-056-1,21500079-056,dribble-hand-off,FALSE,1,4:51,16.97,Greivis Vasquez,Giannis Antetokounmpo,
18,21500079-063-1,21500079-063,dribble-hand-off,FALSE,1,4:28,19.55,Jerian Grant,Kristaps Porzingis,
19,21500079-078-1,21500079-078,dribble-hand-off,TRUE,1,3:33,5.32,John Henson,Giannis Antetokounmpo,
20,21500079-085-1,21500079-085,dribble-hand-off,FALSE,1,3:20,18.45,Langston Galloway,Derrick Williams,
21,21500079-085-2,21500079-085,dribble-hand-off,FALSE,1,3:06,4.64,Jerian Grant,Derrick Williams,
22,21500079-095-1,21500079-095,dribble-hand-off,FALSE,1,2:44,19.38,Jerian Grant,Langston Galloway,
23,21500079-101-1,21500079-101,dribble-hand-off,TRUE,1,2:30,16.94,Greivis Vasquez,Giannis Antetokounmpo,
24,21500079-103-1,21500079-103,dribble-hand-off,TRUE,1,1:59,16.38,Greivis Vasquez,Giannis Antetokounmpo,
25,21500079-103-2,21500079-103,dribble-hand-off,FALSE,1,1:48,6.81,John Henson,Giannis Antetokounmpo,
26,21500079-103-3,21500079-103,dribble-hand-off,FALSE,1,1:47,6.48,Giannis Antetokounmpo,Greivis Vasquez,
27,21500079-113-1,21500079-113,dribble-hand-off,TRUE,1,0:46,12.35,John Henson,Greivis Vasquez,
28,21500079-116-1,21500079-116,dribble-hand-off,FALSE,1,0:28,15.01,Jerryd Bayless,John Henson,
29,21500079-116-2,21500079-116,dribble-hand-off,TRUE,1,0:27,13.46,John Henson,Jerryd Bayless,
30,21500079-116-3,21500079-116,dribble-hand-off,FALSE,1,0:27,13.37,Jerryd Bayless,John Henson,
31,21500079-116-4,21500079-116,dribble-hand-off,TRUE,1,0:25,11.9,John Henson,Khris Middleton,
32,21500079-124-1,21500079-124,dribble-hand-off,TRUE,2,11:40,12.3,John Henson,Jerryd Bayless,
33,21500079-125-1,21500079-125,dribble-hand-off,TRUE,2,11:22,12.92,Derrick Williams,Jerian Grant,
34,21500079-127-1,21500079-127,dribble-hand-off,FALSE,2,10:58,16.9,Derrick Williams,Lance Thomas,
35,21500079-130-1,21500079-130,dribble-hand-off,FALSE,2,10:40,24,Lance Thomas,Jerian Grant,
