,candidate_id,event_id,classification_type,classification,period,game_clock,shot_clock,player_a,player_b,notes
0,21500112-002-1,21500112-002,dribble-hand-off,FALSE,1,11:53,18.58,Jrue Holiday,Omer Asik,
1,21500112-010-1,21500112-010,dribble-hand-off,TRUE,1,11:16,19.98,Deron Williams,Chandler Parsons,
2,21500112-010-2,21500112-010,dribble-hand-off,TRUE,1,11:13,17.14,Dirk Nowitzki,Wesley Matthews,
3,21500112-010-3,21500112-010,dribble-hand-off,FALSE,1,11:11,14.98,Wesley Matthews,Dirk Nowitzki,
4,21500112-013-1,21500112-013,dribble-hand-off,FALSE,1,10:52,14.66,Deron Williams,Dirk Nowitzki,
5,21500112-016-1,21500112-016,dribble-hand-off,TRUE,1,10:34,20.42,Deron Williams,Chandler Parsons,
6,21500112-033-1,21500112-033,dribble-hand-off,FALSE,1,8:20,15.89,Deron Williams,Dirk Nowitzki,
7,21500112-038-1,21500112-038,dribble-hand-off,FALSE,1,8:05,12.7,Jrue Holiday,Omer Asik,
8,21500112-040-1,21500112-040,dribble-hand-off,FALSE,1,7:50,16.97,Chandler Parsons,Deron Williams,
9,21500112-041-1,21500112-041,dribble-hand-off,FALSE,1,7:39,15.69,Jrue Holiday,Anthony Davis,
10,21500112-051-1,21500112-051,dribble-hand-off,FALSE,1,7:07,8.75,Ryan Anderson,Jrue Holiday,
11,21500112-052-1,21500112-052,dribble-hand-off,FALSE,1,6:56,17.23,Raymond Felton,Zaza Pachulia,
12,21500112-052-2,21500112-052,dribble-hand-off,TRUE,1,6:52,13.86,Zaza Pachulia,Charlie Villanueva,
13,21500112-057-1,21500112-057,dribble-hand-off,TRUE,1,6:28,20.35,Anthony Davis,Jrue Holiday,
14,21500112-058-1,21500112-058,dribble-hand-off,TRUE,1,6:13,18.84,Charlie Villanueva,Deron Williams,
15,21500112-058-2,21500112-058,dribble-hand-off,FALSE,1,6:12,17.56,Deron Williams,Charlie Villanueva,
16,21500112-059-1,21500112-059,dribble-hand-off,FALSE,1,6:02,18.75,Jrue Holiday,Anthony Davis,
17,21500112-063-1,21500112-063,dribble-hand-off,FALSE,1,5:43,8.41,Chandler Parsons,Deron Williams,
18,21500112-064-1,21500112-064,dribble-hand-off,TRUE,1,5:41,12.38,Charlie Villanueva,Deron Williams,
19,21500112-065-1,21500112-065,dribble-hand-off,FALSE,1,5:24,17.37,Jrue Holiday,Anthony Davis,
20,21500112-076-1,21500112-076,dribble-hand-off,FALSE,1,4:52,8.53,Ryan Anderson,Jrue Holiday,
21,21500112-094-1,21500112-094,dribble-hand-off,TRUE,1,3:31,17.96,Raymond Felton,Devin Harris,
22,21500112-098-1,21500112-098,dribble-hand-off,TRUE,1,2:59,17.79,Charlie Villanueva,Devin Harris,
23,21500112-098-2,21500112-098,dribble-hand-off,FALSE,1,2:54,13.34,Wesley Matthews,Raymond Felton,
24,21500112-098-3,21500112-098,dribble-hand-off,FALSE,1,2:53,11.83,Raymond Felton,Charlie Villanueva,
25,21500112-098-4,21500112-098,dribble-hand-off,FALSE,1,2:53,11.41,Charlie Villanueva,Wesley Matthews,
