,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500336-002-1,21500336-002,dribble-hand-off,FALSE,1,11:53,18.37,203546,Ian Clark,201575,Brandon Rush,
1,21500336-004-1,21500336-004,dribble-hand-off,TRUE,1,11:32,17.68,202738,Isaiah Thomas,101161,Amir Johnson,
2,21500336-004-2,21500336-004,dribble-hand-off,FALSE,1,11:30,15.81,101161,Amir Johnson,203096,Jared Sullinger,
3,21500336-004-3,21500336-004,dribble-hand-off,TRUE,1,11:28,13.95,203096,Jared Sullinger,203109,Jae Crowder,
4,21500336-008-1,21500336-008,dribble-hand-off,TRUE,1,11:02,11.79,101161,Amir Johnson,202340,Avery Bradley,
5,21500336-008-2,21500336-008,dribble-hand-off,FALSE,1,10:57,7.37,203096,Jared Sullinger,202738,Isaiah Thomas,
6,21500336-013-1,21500336-013,dribble-hand-off,TRUE,1,10:35,8.42,101106,Andrew Bogut,201939,Stephen Curry,
7,21500336-017-1,21500336-017,dribble-hand-off,FALSE,1,10:13,17.56,202738,Isaiah Thomas,203096,Jared Sullinger,
8,21500336-022-1,21500336-022,dribble-hand-off,FALSE,1,9:48,16.97,203096,Jared Sullinger,202340,Avery Bradley,
9,21500336-024-1,21500336-024,dribble-hand-off,TRUE,1,9:10,12.66,203096,Jared Sullinger,202340,Avery Bradley,
10,21500336-026-1,21500336-026,dribble-hand-off,TRUE,1,8:44,18.78,203096,Jared Sullinger,202738,Isaiah Thomas,
11,21500336-030-1,21500336-030,dribble-hand-off,FALSE,1,8:20,20.19,202738,Isaiah Thomas,203109,Jae Crowder,
12,21500336-038-1,21500336-038,dribble-hand-off,FALSE,1,7:11,10.07,201939,Stephen Curry,203110,Draymond Green,
13,21500336-040-1,21500336-040,dribble-hand-off,FALSE,1,6:56,12.53,101161,Amir Johnson,202738,Isaiah Thomas,
14,21500336-041-1,21500336-041,dribble-hand-off,FALSE,1,6:43,14.83,201939,Stephen Curry,101106,Andrew Bogut,
15,21500336-043-1,21500336-043,dribble-hand-off,TRUE,1,6:31,20.22,101106,Andrew Bogut,201939,Stephen Curry,
16,21500336-046-1,21500336-046,dribble-hand-off,TRUE,1,6:20,9.05,203110,Draymond Green,203546,Ian Clark,FAKE
17,21500336-046-2,21500336-046,dribble-hand-off,FALSE,1,6:19,8.57,203546,Ian Clark,203110,Draymond Green,
18,21500336-046-3,21500336-046,dribble-hand-off,FALSE,1,6:19,8.41,203110,Draymond Green,203546,Ian Clark,
19,21500336-046-4,21500336-046,dribble-hand-off,FALSE,1,6:16,5.11,201939,Stephen Curry,203546,Ian Clark,
20,21500336-050-1,21500336-050,dribble-hand-off,TRUE,1,5:46,9.16,101106,Andrew Bogut,201939,Stephen Curry,FAKE
21,21500336-050-2,21500336-050,dribble-hand-off,FALSE,1,5:45,8.82,201939,Stephen Curry,101106,Andrew Bogut,
22,21500336-050-3,21500336-050,dribble-hand-off,TRUE,1,5:45,8.55,101106,Andrew Bogut,201939,Stephen Curry,
23,21500336-064-1,21500336-064,dribble-hand-off,TRUE,1,4:44,13.56,2738,Andre Iguodala,201939,Stephen Curry,
24,21500336-068-1,21500336-068,dribble-hand-off,FALSE,1,4:30,16,101161,Amir Johnson,202738,Isaiah Thomas,
25,21500336-070-1,21500336-070,dribble-hand-off,FALSE,1,4:16,16,203110,Draymond Green,201939,Stephen Curry,
26,21500336-074-1,21500336-074,dribble-hand-off,TRUE,1,3:42,12.6,101161,Amir Johnson,202323,Evan Turner,
27,21500336-074-2,21500336-074,dribble-hand-off,TRUE,1,3:40,10.38,203482,Kelly Olynyk,202340,Avery Bradley,
28,21500336-074-3,21500336-074,dribble-hand-off,FALSE,1,3:40,10.19,202340,Avery Bradley,203482,Kelly Olynyk,
29,21500336-097-1,21500336-097,dribble-hand-off,TRUE,1,2:28,11.16,203482,Kelly Olynyk,202323,Evan Turner,
