,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500436-004-1,21500436-004,dribble-hand-off,FALSE,1,11:39,15.93,201936,Tyreke Evans,201569,Eric Gordon,
1,21500436-004-2,21500436-004,dribble-hand-off,FALSE,1,11:37,13.62,201569,Eric Gordon,201936,Tyreke Evans,
2,21500436-004-3,21500436-004,dribble-hand-off,FALSE,1,11:33,9.53,201936,Tyreke Evans,203076,Anthony Davis,
3,21500436-006-1,21500436-006,dribble-hand-off,FALSE,1,11:21,16.25,201609,Goran Dragic,2547,Chris Bosh,
4,21500436-006-2,21500436-006,dribble-hand-off,TRUE,1,11:20,15.33,2547,Chris Bosh,201609,Goran Dragic,
5,21500436-006-3,21500436-006,dribble-hand-off,FALSE,1,11:17,12.97,201609,Goran Dragic,2547,Chris Bosh,
6,21500436-007-1,21500436-007,dribble-hand-off,FALSE,1,11:08,18.81,201569,Eric Gordon,201936,Tyreke Evans,
7,21500436-007-2,21500436-007,dribble-hand-off,TRUE,1,11:06,16.44,201936,Tyreke Evans,203076,Anthony Davis,
8,21500436-007-3,21500436-007,dribble-hand-off,TRUE,1,11:05,15.36,203076,Anthony Davis,201936,Tyreke Evans,
9,21500436-010-1,21500436-010,dribble-hand-off,TRUE,1,10:53,13.67,201600,Omer Asik,201936,Tyreke Evans,
10,21500436-010-2,21500436-010,dribble-hand-off,FALSE,1,10:49,11.1,201936,Tyreke Evans,201600,Omer Asik,
11,21500436-010-3,21500436-010,dribble-hand-off,TRUE,1,10:48,10.53,201600,Omer Asik,201936,Tyreke Evans,
12,21500436-015-1,21500436-015,dribble-hand-off,FALSE,1,10:22,12.97,203076,Anthony Davis,201600,Omer Asik,
13,21500436-015-2,21500436-015,dribble-hand-off,TRUE,1,10:22,12.6,201600,Omer Asik,201936,Tyreke Evans,
14,21500436-018-1,21500436-018,dribble-hand-off,FALSE,1,9:59,18.78,203076,Anthony Davis,201600,Omer Asik,
15,21500436-018-2,21500436-018,dribble-hand-off,FALSE,1,9:58,18.5,201600,Omer Asik,201569,Eric Gordon,
16,21500436-018-3,21500436-018,dribble-hand-off,FALSE,1,9:52,12.44,201936,Tyreke Evans,201600,Omer Asik,
17,21500436-031-1,21500436-031,dribble-hand-off,FALSE,1,9:03,15.6,201936,Tyreke Evans,201600,Omer Asik,
18,21500436-032-1,21500436-032,dribble-hand-off,FALSE,1,8:44,14.03,201609,Goran Dragic,2547,Chris Bosh,
19,21500436-032-2,21500436-032,dribble-hand-off,FALSE,1,8:44,13.96,2547,Chris Bosh,201609,Goran Dragic,
20,21500436-036-1,21500436-036,dribble-hand-off,FALSE,1,8:02,16.19,201569,Eric Gordon,201600,Omer Asik,
21,21500436-036-2,21500436-036,dribble-hand-off,FALSE,1,8:02,16.03,201600,Omer Asik,203076,Anthony Davis,
22,21500436-036-3,21500436-036,dribble-hand-off,FALSE,1,8:00,14.63,203076,Anthony Davis,201569,Eric Gordon,
23,21500436-040-1,21500436-040,dribble-hand-off,FALSE,1,7:33,13.83,201936,Tyreke Evans,201600,Omer Asik,
24,21500436-040-2,21500436-040,dribble-hand-off,FALSE,1,7:33,13.67,201600,Omer Asik,201936,Tyreke Evans,
25,21500436-041-1,21500436-041,dribble-hand-off,TRUE,1,7:20,17.12,201609,Goran Dragic,2548,Dwyane Wade,
26,21500436-041-2,21500436-041,dribble-hand-off,FALSE,1,7:14,11.97,2548,Dwyane Wade,2547,Chris Bosh,
27,21500436-046-1,21500436-046,dribble-hand-off,TRUE,1,6:44,16.25,201600,Omer Asik,201569,Eric Gordon,
