,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500468-010-1,21500468-010,dribble-hand-off,TRUE,1,11:29,9.84,202326,DeMarcus Cousins,200752,Rudy Gay,
1,21500468-015-1,21500468-015,dribble-hand-off,TRUE,1,10:53,9.72,202326,DeMarcus Cousins,203463,Ben McLemore,
2,21500468-017-1,21500468-017,dribble-hand-off,FALSE,1,10:45,20.3,201939,Stephen Curry,203110,Draymond Green,
3,21500468-017-2,21500468-017,dribble-hand-off,TRUE,1,10:42,17.32,201939,Stephen Curry,202691,Klay Thompson,
4,21500468-041-1,21500468-041,dribble-hand-off,FALSE,1,9:01,19.41,201939,Stephen Curry,201575,Brandon Rush,
5,21500468-041-2,21500468-041,dribble-hand-off,FALSE,1,9:01,19.25,201575,Brandon Rush,202691,Klay Thompson,
6,21500468-042-1,21500468-042,dribble-hand-off,FALSE,1,8:51,21.05,200765,Rajon Rondo,202326,DeMarcus Cousins,
7,21500468-044-1,21500468-044,dribble-hand-off,FALSE,1,8:38,21.59,202691,Klay Thompson,201939,Stephen Curry,
8,21500468-044-2,21500468-044,dribble-hand-off,FALSE,1,8:37,20.43,201939,Stephen Curry,203110,Draymond Green,
9,21500468-046-1,21500468-046,dribble-hand-off,FALSE,1,8:16,7.36,203463,Ben McLemore,201956,Omri Casspi,
10,21500468-048-1,21500468-048,dribble-hand-off,FALSE,1,8:06,24,203110,Draymond Green,201939,Stephen Curry,"turnover, follows fake"
11,21500468-049-1,21500468-049,dribble-hand-off,FALSE,1,7:59,18.36,200765,Rajon Rondo,202326,DeMarcus Cousins,
12,21500468-050-1,21500468-050,dribble-hand-off,TRUE,1,7:43,17.1,203110,Draymond Green,201939,Stephen Curry,
13,21500468-066-1,21500468-066,dribble-hand-off,FALSE,1,6:38,16.21,101106,Andrew Bogut,202691,Klay Thompson,
14,21500468-073-1,21500468-073,dribble-hand-off,FALSE,1,5:48,23.88,201954,Darren Collison,202326,DeMarcus Cousins,
15,21500468-073-2,21500468-073,dribble-hand-off,TRUE,1,5:47,23.88,202326,DeMarcus Cousins,201954,Darren Collison,
16,21500468-083-1,21500468-083,dribble-hand-off,FALSE,1,5:12,23.21,200752,Rudy Gay,201954,Darren Collison,
17,21500468-083-2,21500468-083,dribble-hand-off,FALSE,1,5:03,21.1,201954,Darren Collison,202326,DeMarcus Cousins,
18,21500468-089-1,21500468-089,dribble-hand-off,FALSE,1,4:57,18.78,203463,Ben McLemore,201954,Darren Collison,
19,21500468-092-1,21500468-092,dribble-hand-off,TRUE,1,4:35,14.61,202326,DeMarcus Cousins,200752,Rudy Gay,
20,21500468-109-1,21500468-109,dribble-hand-off,FALSE,1,3:46,12.07,2738,Andre Iguodala,202691,Klay Thompson,
21,21500468-122-1,21500468-122,dribble-hand-off,TRUE,1,3:03,19.42,201939,Stephen Curry,202691,Klay Thompson,
22,21500468-132-1,21500468-132,dribble-hand-off,FALSE,1,2:30,10.04,201954,Darren Collison,200752,Rudy Gay,
23,21500468-132-2,21500468-132,dribble-hand-off,TRUE,1,2:29,9.82,200752,Rudy Gay,201158,Marco Belinelli,borderline
24,21500468-141-1,21500468-141,dribble-hand-off,TRUE,1,1:30,18.51,201954,Darren Collison,201158,Marco Belinelli,
25,21500468-141-2,21500468-141,dribble-hand-off,FALSE,1,1:29,18.15,201158,Marco Belinelli,203112,Quincy Acy,
26,21500468-141-3,21500468-141,dribble-hand-off,FALSE,1,1:21,10.37,201954,Darren Collison,200752,Rudy Gay,
27,21500468-151-1,21500468-151,dribble-hand-off,TRUE,1,0:46,11.08,203546,Ian Clark,2733,Shaun Livingston,
28,21500468-155-1,21500468-155,dribble-hand-off,FALSE,1,0:20,16.94,203546,Ian Clark,2733,Shaun Livingston,
29,21500468-155-2,21500468-155,dribble-hand-off,FALSE,1,0:08,5.88,2738,Andre Iguodala,203105,Festus Ezeli,
30,21500468-164-1,21500468-164,dribble-hand-off,TRUE,2,11:26,16.63,2733,Shaun Livingston,201575,Brandon Rush,
31,21500468-164-2,21500468-164,dribble-hand-off,TRUE,2,11:25,15.72,201575,Brandon Rush,2738,Andre Iguodala,
32,21500468-164-3,21500468-164,dribble-hand-off,TRUE,2,11:23,14.55,2738,Andre Iguodala,203546,Ian Clark,
33,21500468-167-1,21500468-167,dribble-hand-off,FALSE,2,11:00,15.37,203546,Ian Clark,2733,Shaun Livingston,
34,21500468-167-2,21500468-167,dribble-hand-off,FALSE,2,10:54,9.93,2733,Shaun Livingston,2738,Andre Iguodala,
35,21500468-167-3,21500468-167,dribble-hand-off,FALSE,2,10:52,8.78,2738,Andre Iguodala,203546,Ian Clark,
36,21500468-170-1,21500468-170,dribble-hand-off,TRUE,2,10:36,16.24,2733,Shaun Livingston,203546,Ian Clark,cool camera angle
37,21500468-179-1,21500468-179,dribble-hand-off,FALSE,2,10:09,11.65,201954,Darren Collison,201158,Marco Belinelli,
38,21500468-184-1,21500468-184,dribble-hand-off,FALSE,2,9:20,11.08,201956,Omri Casspi,201158,Marco Belinelli,
39,21500468-184-2,21500468-184,dribble-hand-off,FALSE,2,9:19,9.4,201158,Marco Belinelli,201956,Omri Casspi,
40,21500468-190-1,21500468-190,dribble-hand-off,TRUE,2,9:09,20.51,2733,Shaun Livingston,203546,Ian Clark,
41,21500468-190-2,21500468-190,dribble-hand-off,TRUE,2,9:01,8.52,203949,James Michael McAdoo,202691,Klay Thompson,
42,21500468-196-1,21500468-196,dribble-hand-off,FALSE,2,8:28,14.72,2733,Shaun Livingston,203949,James Michael McAdoo,
43,21500468-197-1,21500468-197,dribble-hand-off,TRUE,2,8:11,14.48,203112,Quincy Acy,201158,Marco Belinelli,FAKE
44,21500468-197-2,21500468-197,dribble-hand-off,FALSE,2,8:11,14.41,201158,Marco Belinelli,203112,Quincy Acy,
45,21500468-197-3,21500468-197,dribble-hand-off,TRUE,2,8:08,12,203112,Quincy Acy,201158,Marco Belinelli,
46,21500468-202-1,21500468-202,dribble-hand-off,FALSE,2,8:01,17.88,203949,James Michael McAdoo,203546,Ian Clark,
47,21500468-207-1,21500468-207,dribble-hand-off,TRUE,2,7:18,18.45,201954,Darren Collison,201956,Omri Casspi,
48,21500468-217-1,21500468-217,dribble-hand-off,TRUE,2,6:46,10.71,203112,Quincy Acy,201158,Marco Belinelli,
49,21500468-223-1,21500468-223,dribble-hand-off,FALSE,2,6:14,9.7,203112,Quincy Acy,201158,Marco Belinelli,borderline
50,21500468-229-1,21500468-229,dribble-hand-off,FALSE,2,5:49,15.13,201939,Stephen Curry,203110,Draymond Green,
51,21500468-232-1,21500468-232,dribble-hand-off,TRUE,2,5:37,16.91,201956,Omri Casspi,201954,Darren Collison,
52,21500468-232-2,21500468-232,dribble-hand-off,FALSE,2,5:36,15.51,200752,Rudy Gay,201158,Marco Belinelli,
53,21500468-235-1,21500468-235,dribble-hand-off,FALSE,2,5:30,20.82,202691,Klay Thompson,201939,Stephen Curry,
54,21500468-240-1,21500468-240,dribble-hand-off,FALSE,2,5:17,0,202691,Klay Thompson,201939,Stephen Curry,
55,21500468-245-1,21500468-245,dribble-hand-off,FALSE,2,4:36,18.74,201956,Omri Casspi,201954,Darren Collison,
56,21500468-265-1,21500468-265,dribble-hand-off,FALSE,2,3:05,16.15,201954,Darren Collison,201956,Omri Casspi,
57,21500468-271-1,21500468-271,dribble-hand-off,FALSE,2,2:27,15.46,203110,Draymond Green,202691,Klay Thompson,
58,21500468-271-2,21500468-271,dribble-hand-off,FALSE,2,2:16,24,2738,Andre Iguodala,201939,Stephen Curry,
59,21500468-290-1,21500468-290,dribble-hand-off,FALSE,2,0:32,21.55,201954,Darren Collison,203463,Ben McLemore,
60,21500468-300-1,21500468-300,dribble-hand-off,FALSE,3,11:56,13.98,200765,Rajon Rondo,201956,Omri Casspi,
61,21500468-302-1,21500468-302,dribble-hand-off,TRUE,3,11:39,12.69,203110,Draymond Green,202691,Klay Thompson,
62,21500468-302-2,21500468-302,dribble-hand-off,FALSE,3,11:39,12.46,202691,Klay Thompson,203110,Draymond Green,
63,21500468-302-3,21500468-302,dribble-hand-off,FALSE,3,11:39,12.3,203110,Draymond Green,202691,Klay Thompson,
64,21500468-302-4,21500468-302,dribble-hand-off,FALSE,3,11:36,9.3,202691,Klay Thompson,201575,Brandon Rush,
65,21500468-308-1,21500468-308,dribble-hand-off,FALSE,3,11:14,11.04,101106,Andrew Bogut,201575,Brandon Rush,
