,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_b,notes
0,21500476-002-1,21500476-002,dribble-hand-off,TRUE,1,11:56,14.41,Jae Crowder,Isaiah Thomas,
1,21500476-002-2,21500476-002,dribble-hand-off,TRUE,1,11:49,12.07,Jared Sullinger,Isaiah Thomas,
2,21500476-004-1,21500476-004,dribble-hand-off,TRUE,1,11:31,24,Roy Hibbert,Kobe Bryant,
3,21500476-007-1,21500476-007,dribble-hand-off,FALSE,1,11:07,8.32,Isaiah Thomas,Jared Sullinger,
4,21500476-009-1,21500476-009,dribble-hand-off,FALSE,1,10:53,13.54,Lou Williams,Kobe Bryant,
5,21500476-009-2,21500476-009,dribble-hand-off,FALSE,1,10:53,13.28,Kobe Bryant,Lou Williams,
6,21500476-010-1,21500476-010,dribble-hand-off,FALSE,1,10:45,19.74,Isaiah Thomas,Amir Johnson,
7,21500476-016-1,21500476-016,dribble-hand-off,TRUE,1,9:40,9.22,Larry Nance Jr.,Jordan Clarkson,
8,21500476-019-1,21500476-019,dribble-hand-off,FALSE,1,9:21,11.08,Avery Bradley,Jared Sullinger,
9,21500476-027-1,21500476-027,dribble-hand-off,TRUE,1,8:22,16.63,Jared Sullinger,Avery Bradley,
10,21500476-030-1,21500476-030,dribble-hand-off,TRUE,1,8:08,13.9,Roy Hibbert,Jordan Clarkson,FAKE
11,21500476-030-2,21500476-030,dribble-hand-off,FALSE,1,8:07,13.65,Jordan Clarkson,Roy Hibbert,
12,21500476-033-1,21500476-033,dribble-hand-off,FALSE,1,7:38,14.28,Roy Hibbert,Kobe Bryant,
13,21500476-036-1,21500476-036,dribble-hand-off,FALSE,1,7:37,13.51,Jordan Clarkson,Larry Nance Jr.,
14,21500476-036-2,21500476-036,dribble-hand-off,FALSE,1,7:37,5.95,Larry Nance Jr.,Roy Hibbert,
15,21500476-036-3,21500476-036,dribble-hand-off,TRUE,1,7:34,4.69,Roy Hibbert,Jordan Clarkson,
16,21500476-037-1,21500476-037,dribble-hand-off,FALSE,1,7:09,13.54,Jae Crowder,Avery Bradley,
17,21500476-037-2,21500476-037,dribble-hand-off,FALSE,1,7:09,12.82,Avery Bradley,Jae Crowder,
18,21500476-042-1,21500476-042,dribble-hand-off,FALSE,1,6:54,19.73,Isaiah Thomas,Jae Crowder,
