,event_id,classification_type,classification,period,game_clock,shot_clock,player_a,player_b,notes
0,215004882,dribble-hand-off,FALSE,1,11:52,14.32,Russell Westbrook,Kevin Durant,
1,215004885,dribble-hand-off,TRUE,1,11:35,12.96,TJ Warren,PJ Tucker,
2,215004885,dribble-hand-off,TRUE,1,11:28,6.65,PJ Tucker,Brandon Knight,
3,215004889,dribble-hand-off,FALSE,1,10:48,14.06,TJ Warren,Brandon Knight,
4,215004889,dribble-hand-off,FALSE,1,10:43,7.85,PJ Tucker,Devin Booker,
5,215004889,dribble-hand-off,FALSE,1,10:37,3.54,PJ Tucker,TJ Warren,
6,2150048810,dribble-hand-off,FALSE,1,10:16,11.18,Kevin Durant,Steven Adams,
7,2150048810,dribble-hand-off,FALSE,1,10:09,4.5,Russell Westbrook,Serge Ibaka,
8,2150048811,dribble-hand-off,TRUE,1,9:57,16.36,Tyson Chandler,Devin Booker,
9,2150048823,dribble-hand-off,TRUE,1,8:19,9.78,PJ Tucker,TJ Warren,
10,2150048823,dribble-hand-off,FALSE,1,8:13,4.73,Brandon Knight,Tyson Chandler,
11,2150048829,dribble-hand-off,TRUE,1,7:49,15.64,Brandon Knight,Devin Booker,
12,2150048831,dribble-hand-off,TRUE,1,7:33,16,Tyson Chandler,Devin Booker,
13,2150048835,dribble-hand-off,FALSE,1,6:56,17.5,Russell Westbrook,Serge Ibaka,
14,2150048839,dribble-hand-off,FALSE,1,6:54,15.03,Andre Roberson,Russell Westbrook,
15,2150048840,dribble-hand-off,TRUE,1,6:33,14.96,Brandon Knight,Devin Booker,
16,2150048841,dribble-hand-off,FALSE,1,6:15,14.95,Russell Westbrook,Steven Adams,
17,2150048855,dribble-hand-off,FALSE,1,5:52,15.84,TJ Warren,Mirza Teletovic,
18,2150048855,dribble-hand-off,TRUE,1,5:41,1.65,Brandon Knight,Mirza Teletovic,
19,2150048860,dribble-hand-off,FALSE,1,5:13,15.37,Brandon Knight,Devin Booker,
20,2150048860,dribble-hand-off,FALSE,1,5:10,11.85,Mirza Teletovic,Brandon Knight,
21,2150048860,dribble-hand-off,TRUE,1,5:03,5.08,Brandon Knight,Mirza Teletovic,
22,2150048862,dribble-hand-off,FALSE,1,4:47,11.13,Russell Westbrook,Kevin Durant,
23,2150048862,dribble-hand-off,FALSE,1,4:44,8.89,Dion Waiters,Serge Ibaka,
24,2150048862,dribble-hand-off,FALSE,1,4:42,7.58,Kevin Durant,Serge Ibaka,
25,2150048867,dribble-hand-off,FALSE,1,3:44,15.16,Russell Westbrook,Kevin Durant,
26,2150048868,dribble-hand-off,FALSE,1,3:21,12.93,Mirza Teletovic,TJ Warren,
27,2150048886,dribble-hand-off,FALSE,1,2:18,15.61,PJ Tucker,Devin Booker,
28,2150048887,dribble-hand-off,FALSE,1,2:03,14.66,Cameron Payne,Kevin Durant,
29,2150048887,dribble-hand-off,FALSE,1,2:00,12.08,Kevin Durant,Dion Waiters,
30,2150048888,dribble-hand-off,FALSE,1,1:49,19.16,Devin Booker,Brandon Knight,
31,2150048888,dribble-hand-off,TRUE,1,1:46,17.04,Alex Len,Mirza Teletovic,
32,2150048888,dribble-hand-off,FALSE,1,1:44,14.24,Mirza Teletovic,Alex Len,
33,2150048890,dribble-hand-off,FALSE,1,1:41,14.56,PJ Tucker,Bryce Cotton,
34,2150048892,dribble-hand-off,FALSE,1,1:04,16.94,Mirza Teletovic,Bryce Cotton,
35,2150048897,dribble-hand-off,FALSE,1,0:41,8.37,Cameron Payne,Enes Kanter,
36,21500488102,dribble-hand-off,FALSE,1,0:05,0,Devin Booker,Alex Len,
37,21500488112,dribble-hand-off,TRUE,2,11:32,16.75,Cameron Payne,Dion Waiters,foul
38,21500488119,dribble-hand-off,TRUE,2,10:56,24,Cameron Payne,Dion Waiters,
39,21500488119,dribble-hand-off,FALSE,2,10:46,22.85,Dion Waiters,Enes Kanter,
40,21500488129,dribble-hand-off,FALSE,2,9:55,8.4,Alex Len,Devin Booker,
41,21500488129,dribble-hand-off,TRUE,2,9:48,5.79,Devin Booker,Mirza Teletovic,
42,21500488131,dribble-hand-off,TRUE,2,9:26,10.56,Nick Collison,Anthony Morrow,
43,21500488131,dribble-hand-off,FALSE,2,9:24,7.62,Anthony Morrow,Enes Kanter,
44,21500488140,dribble-hand-off,FALSE,2,9:17,17.79,Brandon Knight,PJ Tucker,
45,21500488140,dribble-hand-off,FALSE,2,9:10,10.96,Brandon Knight,Tyson Chandler,
46,21500488142,dribble-hand-off,FALSE,2,9:02,19.3,Cameron Payne,Nick Collison,
