,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_b,notes
0,21500495-002-1,21500495-002,dribble-hand-off,FALSE,1,11:51,11.22,Brook Lopez,Joe Johnson,
1,21500495-003-1,21500495-003,dribble-hand-off,FALSE,1,11:34,15.86,Jared Sullinger,Amir Johnson,
2,21500495-004-1,21500495-004,dribble-hand-off,TRUE,1,11:22,13.84,Thaddeus Young,Bojan Bogdanovic,
3,21500495-004-2,21500495-004,dribble-hand-off,FALSE,1,11:19,10.74,Bojan Bogdanovic,Brook Lopez,
4,21500495-004-3,21500495-004,dribble-hand-off,FALSE,1,11:18,10.41,Brook Lopez,Joe Johnson,
5,21500495-009-1,21500495-009,dribble-hand-off,TRUE,1,10:54,16.25,Brook Lopez,Jarrett Jack,doesn't cross screen
6,21500495-010-1,21500495-010,dribble-hand-off,TRUE,1,10:35,23.88,Jared Sullinger,Avery Bradley,
7,21500495-010-2,21500495-010,dribble-hand-off,FALSE,1,10:33,23.91,Avery Bradley,Jared Sullinger,
8,21500495-014-1,21500495-014,dribble-hand-off,FALSE,1,10:14,16.72,Jared Sullinger,Jae Crowder,
9,21500495-014-2,21500495-014,dribble-hand-off,FALSE,1,10:11,13.81,Jae Crowder,Isaiah Thomas,
10,21500495-019-1,21500495-019,dribble-hand-off,TRUE,1,9:52,9.29,Isaiah Thomas,Amir Johnson,
11,21500495-019-2,21500495-019,dribble-hand-off,TRUE,1,9:50,9.05,Jared Sullinger,Jae Crowder,
12,21500495-021-1,21500495-021,dribble-hand-off,FALSE,1,9:34,15.7,Jarrett Jack,Brook Lopez,
13,21500495-021-2,21500495-021,dribble-hand-off,FALSE,1,9:33,15.12,Brook Lopez,Bojan Bogdanovic,
14,21500495-022-1,21500495-022,dribble-hand-off,FALSE,1,9:28,8.13,Joe Johnson,Brook Lopez,
15,21500495-023-1,21500495-023,dribble-hand-off,FALSE,1,9:12,17.39,Jared Sullinger,Jae Crowder,
16,21500495-023-2,21500495-023,dribble-hand-off,TRUE,1,9:11,16.7,Jae Crowder,Avery Bradley,
17,21500495-024-1,21500495-024,dribble-hand-off,FALSE,1,8:58,14.83,Jarrett Jack,Brook Lopez,
18,21500495-024-2,21500495-024,dribble-hand-off,FALSE,1,8:58,14.72,Brook Lopez,Jarrett Jack,
19,21500495-030-1,21500495-030,dribble-hand-off,TRUE,1,8:52,15.74,Jared Sullinger,Avery Bradley,
20,21500495-032-1,21500495-032,dribble-hand-off,FALSE,1,8:38,16.17,Jarrett Jack,Joe Johnson,
21,21500495-032-2,21500495-032,dribble-hand-off,FALSE,1,8:34,13.24,Joe Johnson,Thaddeus Young,
22,21500495-047-1,21500495-047,dribble-hand-off,FALSE,1,7:56,24,Isaiah Thomas,Jared Sullinger,
23,21500495-047-2,21500495-047,dribble-hand-off,FALSE,1,7:55,24,Jared Sullinger,Jae Crowder,
24,21500495-048-1,21500495-048,dribble-hand-off,FALSE,1,7:44,19.34,Jarrett Jack,Joe Johnson,
25,21500495-048-2,21500495-048,dribble-hand-off,TRUE,1,7:38,14.18,Bojan Bogdanovic,Jarrett Jack,
26,21500495-050-1,21500495-050,dribble-hand-off,FALSE,1,7:24,15.33,Isaiah Thomas,Jae Crowder,
27,21500495-050-2,21500495-050,dribble-hand-off,FALSE,1,7:23,14.66,Jae Crowder,Jared Sullinger,
28,21500495-056-1,21500495-056,dribble-hand-off,FALSE,1,6:58,13.22,Isaiah Thomas,Jae Crowder,
29,21500495-058-1,21500495-058,dribble-hand-off,FALSE,1,6:41,17.71,Jarrett Jack,Joe Johnson,
30,21500495-058-2,21500495-058,dribble-hand-off,FALSE,1,6:36,12.23,Joe Johnson,Jarrett Jack,
31,21500495-061-1,21500495-061,dribble-hand-off,FALSE,1,6:12,17.63,Thaddeus Young,Bojan Bogdanovic,
32,21500495-062-1,21500495-062,dribble-hand-off,FALSE,1,5:53,19.43,Isaiah Thomas,Jae Crowder,
33,21500495-063-1,21500495-063,dribble-hand-off,FALSE,1,5:38,14.36,Jarrett Jack,Joe Johnson,
34,21500495-065-1,21500495-065,dribble-hand-off,FALSE,1,5:28,18.88,Isaiah Thomas,Amir Johnson,
35,21500495-065-2,21500495-065,dribble-hand-off,FALSE,1,5:27,18.68,Amir Johnson,Avery Bradley,
36,21500495-067-1,21500495-067,dribble-hand-off,FALSE,1,5:13,17.25,Jarrett Jack,Joe Johnson,
37,21500495-067-2,21500495-067,dribble-hand-off,FALSE,1,5:13,17.17,Joe Johnson,Jarrett Jack,
38,21500495-068-1,21500495-068,dribble-hand-off,FALSE,1,4:54,18.56,Isaiah Thomas,Jae Crowder,
39,21500495-073-1,21500495-073,dribble-hand-off,FALSE,1,4:43,14.18,Thaddeus Young,Bojan Bogdanovic,
40,21500495-073-2,21500495-073,dribble-hand-off,FALSE,1,4:43,14.1,Bojan Bogdanovic,Thaddeus Young,
41,21500495-073-3,21500495-073,dribble-hand-off,FALSE,1,4:30,22.97,Willie Reed,Jarrett Jack,
42,21500495-079-1,21500495-079,dribble-hand-off,FALSE,1,3:51,14.06,Jarrett Jack,Joe Johnson,
43,21500495-079-2,21500495-079,dribble-hand-off,FALSE,1,3:49,12.07,Joe Johnson,Thaddeus Young,
44,21500495-079-3,21500495-079,dribble-hand-off,FALSE,1,3:49,11.95,Thaddeus Young,Joe Johnson,
45,21500495-089-1,21500495-089,dribble-hand-off,TRUE,1,2:50,19.41,Isaiah Thomas,Tyler Zeller,
46,21500495-089-2,21500495-089,dribble-hand-off,FALSE,1,2:48,17.45,Tyler Zeller,Kelly Olynyk,
47,21500495-089-3,21500495-089,dribble-hand-off,FALSE,1,2:43,12.89,Kelly Olynyk,Isaiah Thomas,
48,21500495-093-1,21500495-093,dribble-hand-off,FALSE,1,2:17,11.88,Tyler Zeller,Evan Turner,
49,21500495-098-1,21500495-098,dribble-hand-off,FALSE,1,1:45,20.79,Wayne Ellington,Jarrett Jack,
50,21500495-099-1,21500495-099,dribble-hand-off,TRUE,1,1:31,15.81,Tyler Zeller,Isaiah Thomas,foul
51,21500495-103-1,21500495-103,dribble-hand-off,FALSE,1,1:29,13.99,Kelly Olynyk,Evan Turner,
52,21500495-109-1,21500495-109,dribble-hand-off,FALSE,1,1:09,13.61,Jarrett Jack,Brook Lopez,
53,21500495-109-2,21500495-109,dribble-hand-off,TRUE,1,1:06,11.17,Brook Lopez,Jarrett Jack,
54,21500495-109-3,21500495-109,dribble-hand-off,FALSE,1,1:02,23.26,Willie Reed,Brook Lopez,rebound
55,21500495-109-4,21500495-109,dribble-hand-off,FALSE,1,1:02,23.16,Brook Lopez,Willie Reed,rebound
56,21500495-125-1,21500495-125,dribble-hand-off,FALSE,1,0:08,7.35,Jarrett Jack,Brook Lopez,
57,21500495-134-1,21500495-134,dribble-hand-off,TRUE,2,11:50,14.91,Tyler Zeller,Kelly Olynyk,
58,21500495-140-1,21500495-140,dribble-hand-off,FALSE,2,11:36,13.04,Shane Larkin,Thaddeus Young,
59,21500495-143-1,21500495-143,dribble-hand-off,FALSE,2,11:24,18.19,Evan Turner,Kelly Olynyk,
60,21500495-144-1,21500495-144,dribble-hand-off,FALSE,2,11:07,15.55,Shane Larkin,Brook Lopez,
61,21500495-147-1,21500495-147,dribble-hand-off,FALSE,2,10:56,15.98,Tyler Zeller,Evan Turner,
62,21500495-147-2,21500495-147,dribble-hand-off,FALSE,2,10:54,13.86,Evan Turner,Tyler Zeller,
63,21500495-147-3,21500495-147,dribble-hand-off,FALSE,2,10:49,24,Tyler Zeller,Evan Turner,
64,21500495-167-1,21500495-167,dribble-hand-off,FALSE,2,10:07,15.96,Shane Larkin,Thaddeus Young,
65,21500495-170-1,21500495-170,dribble-hand-off,TRUE,2,9:46,17.36,Jonas Jerebko,Avery Bradley,
66,21500495-175-1,21500495-175,dribble-hand-off,TRUE,2,9:27,14.32,Thaddeus Young,Wayne Ellington,
67,21500495-177-1,21500495-177,dribble-hand-off,FALSE,2,8:59,13.56,Brook Lopez,Thaddeus Young,
68,21500495-193-1,21500495-193,dribble-hand-off,TRUE,2,7:59,18.79,Evan Turner,Marcus Smart,
69,21500495-193-2,21500495-193,dribble-hand-off,FALSE,2,7:57,17.15,Jared Sullinger,Avery Bradley,
70,21500495-200-1,21500495-200,dribble-hand-off,FALSE,2,7:35,13.43,Isaiah Thomas,Jared Sullinger,
71,21500495-205-1,21500495-205,dribble-hand-off,FALSE,2,6:53,13.39,Marcus Smart,Jared Sullinger,
72,21500495-205-2,21500495-205,dribble-hand-off,FALSE,2,6:43,22.48,Isaiah Thomas,Amir Johnson,
73,21500495-205-3,21500495-205,dribble-hand-off,FALSE,2,6:42,22.04,Amir Johnson,Isaiah Thomas,
74,21500495-212-1,21500495-212,dribble-hand-off,FALSE,2,6:28,14.29,Shane Larkin,Wayne Ellington,
75,21500495-243-1,21500495-243,dribble-hand-off,FALSE,2,4:39,15.44,Brook Lopez,Wayne Ellington,
76,21500495-243-2,21500495-243,dribble-hand-off,FALSE,2,4:37,13.44,Wayne Ellington,Joe Johnson,
77,21500495-245-1,21500495-245,dribble-hand-off,FALSE,2,4:26,18.39,Isaiah Thomas,Jared Sullinger,
78,21500495-271-1,21500495-271,dribble-hand-off,FALSE,2,3:18,19.54,Shane Larkin,Andrea Bargnani,
79,21500495-276-1,21500495-276,dribble-hand-off,TRUE,2,3:03,21.37,Andrea Bargnani,Shane Larkin,
80,21500495-276-2,21500495-276,dribble-hand-off,FALSE,2,3:03,21.25,Shane Larkin,Andrea Bargnani,
81,21500495-276-3,21500495-276,dribble-hand-off,FALSE,2,3:03,21.17,Andrea Bargnani,Shane Larkin,
82,21500495-286-1,21500495-286,dribble-hand-off,FALSE,2,2:23,14.89,Evan Turner,David Lee,
83,21500495-288-1,21500495-288,dribble-hand-off,FALSE,2,2:01,11.01,Bojan Bogdanovic,Joe Johnson,
84,21500495-299-1,21500495-299,dribble-hand-off,FALSE,2,1:12,10.99,Donald Sloan,Andrea Bargnani,
85,21500495-300-1,21500495-300,dribble-hand-off,FALSE,2,0:58,15.35,Evan Turner,David Lee,
86,21500495-310-1,21500495-310,dribble-hand-off,TRUE,2,0:15,8.58,Andrea Bargnani,Donald Sloan,
87,21500495-310-2,21500495-310,dribble-hand-off,FALSE,2,0:11,5,Willie Reed,Donald Sloan,
88,21500495-317-1,21500495-317,dribble-hand-off,TRUE,3,11:50,14.44,Jared Sullinger,Jae Crowder,
89,21500495-322-1,21500495-322,dribble-hand-off,TRUE,3,11:18,17.68,Jared Sullinger,Evan Turner,
90,21500495-326-1,21500495-326,dribble-hand-off,TRUE,3,11:00,18.55,Isaiah Thomas,Jae Crowder,
91,21500495-326-2,21500495-326,dribble-hand-off,FALSE,3,10:59,17.69,Jae Crowder,Isaiah Thomas,
92,21500495-329-1,21500495-329,dribble-hand-off,TRUE,3,10:39,13.57,Joe Johnson,Jarrett Jack,
93,21500495-354-1,21500495-354,dribble-hand-off,FALSE,3,9:24,16.35,Jarrett Jack,Brook Lopez,
94,21500495-355-1,21500495-355,dribble-hand-off,FALSE,3,9:13,19.04,Isaiah Thomas,Amir Johnson,
95,21500495-355-2,21500495-355,dribble-hand-off,TRUE,3,9:12,17.77,Jared Sullinger,Evan Turner,borderline
96,21500495-355-3,21500495-355,dribble-hand-off,FALSE,3,9:09,15.59,Evan Turner,Jared Sullinger,
97,21500495-355-4,21500495-355,dribble-hand-off,FALSE,3,9:09,15.51,Jared Sullinger,Evan Turner,
98,21500495-361-1,21500495-361,dribble-hand-off,FALSE,3,8:24,13.32,Jae Crowder,Jared Sullinger,
99,21500495-361-2,21500495-361,dribble-hand-off,FALSE,3,8:23,13.2,Jared Sullinger,Jae Crowder,
100,21500495-363-1,21500495-363,dribble-hand-off,TRUE,3,8:01,8.47,Brook Lopez,Jarrett Jack,
101,21500495-368-1,21500495-368,dribble-hand-off,TRUE,3,7:25,19.24,Evan Turner,Jared Sullinger,
102,21500495-368-2,21500495-368,dribble-hand-off,FALSE,3,7:25,19.04,Jared Sullinger,Evan Turner,
103,21500495-368-3,21500495-368,dribble-hand-off,FALSE,3,7:22,16.32,Jared Sullinger,Amir Johnson,
104,21500495-375-1,21500495-375,dribble-hand-off,TRUE,3,6:57,20.55,Isaiah Thomas,Kelly Olynyk,
105,21500495-375-2,21500495-375,dribble-hand-off,FALSE,3,6:55,18.87,Kelly Olynyk,David Lee,
106,21500495-375-3,21500495-375,dribble-hand-off,TRUE,3,6:52,15.83,David Lee,Isaiah Thomas,
107,21500495-382-1,21500495-382,dribble-hand-off,FALSE,3,6:01,23.24,Bojan Bogdanovic,Thaddeus Young,
108,21500495-388-1,21500495-388,dribble-hand-off,FALSE,3,5:53,18.26,Evan Turner,Kelly Olynyk,
109,21500495-388-2,21500495-388,dribble-hand-off,TRUE,3,5:53,17.74,Kelly Olynyk,Evan Turner,
110,21500495-388-3,21500495-388,dribble-hand-off,FALSE,3,5:49,14.38,Evan Turner,Isaiah Thomas,
111,21500495-403-1,21500495-403,dribble-hand-off,FALSE,3,4:42,4.52,Kelly Olynyk,Marcus Smart,
112,21500495-416-1,21500495-416,dribble-hand-off,TRUE,3,4:16,18.67,Isaiah Thomas,Kelly Olynyk,
