,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500597-002-1,21500597-002,dribble-hand-off,TRUE,1,11:54,14.05,201565,Derrick Rose,2200,Pau Gasol,
1,21500597-002-2,21500597-002,dribble-hand-off,TRUE,1,11:52,12.75,201565,Derrick Rose,203503,Tony Snell,
2,21500597-002-3,21500597-002,dribble-hand-off,FALSE,1,11:50,11.69,2200,Pau Gasol,202710,Jimmy Butler,
3,21500597-008-1,21500597-008,dribble-hand-off,FALSE,1,10:42,11.68,201565,Derrick Rose,2200,Pau Gasol,
4,21500597-017-1,21500597-017,dribble-hand-off,TRUE,1,10:14,7.82,201959,Taj Gibson,201565,Derrick Rose,
5,21500597-017-2,21500597-017,dribble-hand-off,FALSE,1,10:04,4.89,202710,Jimmy Butler,201959,Taj Gibson,
6,21500597-025-1,21500597-025,dribble-hand-off,FALSE,1,9:15,10.65,101114,Deron Williams,2585,Zaza Pachulia,
7,21500597-027-1,21500597-027,dribble-hand-off,FALSE,1,8:50,15.58,101114,Deron Williams,202083,Wesley Matthews,
8,21500597-027-2,21500597-027,dribble-hand-off,FALSE,1,8:43,9.16,101114,Deron Williams,2585,Zaza Pachulia,
9,21500597-027-3,21500597-027,dribble-hand-off,TRUE,1,8:39,5.71,2585,Zaza Pachulia,202083,Wesley Matthews,
10,21500597-034-1,21500597-034,dribble-hand-off,FALSE,1,7:56,18.28,101114,Deron Williams,2585,Zaza Pachulia,
11,21500597-036-1,21500597-036,dribble-hand-off,TRUE,1,7:28,15.73,203503,Tony Snell,201565,Derrick Rose,borderline
12,21500597-043-1,21500597-043,dribble-hand-off,FALSE,1,6:38,11.48,101114,Deron Williams,1717,Dirk Nowitzki,
13,21500597-045-1,21500597-045,dribble-hand-off,FALSE,1,6:27,14.89,202710,Jimmy Butler,2200,Pau Gasol,
14,21500597-063-1,21500597-063,dribble-hand-off,TRUE,1,5:12,8.28,2585,Zaza Pachulia,101114,Deron Williams,
15,21500597-068-1,21500597-068,dribble-hand-off,FALSE,1,4:40,15.14,2734,Devin Harris,203939,Dwight Powell,
16,21500597-072-1,21500597-072,dribble-hand-off,TRUE,1,4:05,11.97,2585,Zaza Pachulia,202083,Wesley Matthews,
17,21500597-072-2,21500597-072,dribble-hand-off,FALSE,1,4:01,8.04,202083,Wesley Matthews,2585,Zaza Pachulia,
18,21500597-072-3,21500597-072,dribble-hand-off,FALSE,1,3:56,2.99,101114,Deron Williams,2585,Zaza Pachulia,
