,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500594-002-2,21500594-002,dribble-hand-off,FALSE,1,11:48,11.66,201142,Kevin Durant,203500,Steven Adams,
1,21500594-002-3,21500594-002,dribble-hand-off,TRUE,1,11:46,11.36,201586,Serge Ibaka,201566,Russell Westbrook,foul
2,21500594-003-1,21500594-003,dribble-hand-off,FALSE,1,11:38,16.92,201937,Ricky Rubio,2419,Tayshaun Prince,
3,21500594-005-1,21500594-005,dribble-hand-off,FALSE,1,11:26,18.13,201566,Russell Westbrook,201142,Kevin Durant,
4,21500594-005-2,21500594-005,dribble-hand-off,FALSE,1,11:25,17.21,201142,Kevin Durant,201566,Russell Westbrook,
5,21500594-005-3,21500594-005,dribble-hand-off,FALSE,1,11:21,13.58,203460,Andre Roberson,201566,Russell Westbrook,
6,21500594-007-1,21500594-007,dribble-hand-off,TRUE,1,10:59,10.32,1626157,Karl-Anthony Towns,2419,Tayshaun Prince,
7,21500594-008-1,21500594-008,dribble-hand-off,FALSE,1,11:00,14.91,2419,Tayshaun Prince,1626157,Karl-Anthony Towns,
8,21500594-008-2,21500594-008,dribble-hand-off,FALSE,1,10:58,12.14,1626157,Karl-Anthony Towns,201937,Ricky Rubio,
9,21500594-008-3,21500594-008,dribble-hand-off,FALSE,1,10:56,9.85,201937,Ricky Rubio,708,Kevin Garnett,
10,21500594-008-4,21500594-008,dribble-hand-off,FALSE,1,10:56,9.67,708,Kevin Garnett,203952,Andrew Wiggins,
11,21500594-022-1,21500594-022,dribble-hand-off,FALSE,1,9:24,15.28,201937,Ricky Rubio,203952,Andrew Wiggins,
12,21500594-024-1,21500594-024,dribble-hand-off,FALSE,1,9:10,14.14,201142,Kevin Durant,201586,Serge Ibaka,
13,21500594-042-1,21500594-042,dribble-hand-off,FALSE,1,7:52,13.32,708,Kevin Garnett,2419,Tayshaun Prince,
14,21500594-047-1,21500594-047,dribble-hand-off,FALSE,1,7:26,12.04,201142,Kevin Durant,201586,Serge Ibaka,
15,21500594-049-1,21500594-049,dribble-hand-off,FALSE,1,7:17,17.94,201937,Ricky Rubio,708,Kevin Garnett,
16,21500594-055-1,21500594-055,dribble-hand-off,FALSE,1,6:45,15,2419,Tayshaun Prince,1626157,Karl-Anthony Towns,
17,21500594-058-1,21500594-058,dribble-hand-off,FALSE,1,6:04,11.55,201937,Ricky Rubio,203952,Andrew Wiggins,
18,21500594-061-1,21500594-061,dribble-hand-off,FALSE,1,5:31,13.57,201937,Ricky Rubio,1626157,Karl-Anthony Towns,
19,21500594-062-1,21500594-062,dribble-hand-off,FALSE,1,5:14,15.41,201566,Russell Westbrook,202683,Enes Kanter,
20,21500594-069-1,21500594-069,dribble-hand-off,TRUE,1,4:38,12.84,203476,Gorgui Dieng,2419,Tayshaun Prince,
21,21500594-069-2,21500594-069,dribble-hand-off,FALSE,1,4:25,0.69,203952,Andrew Wiggins,203476,Gorgui Dieng,
22,21500594-071-1,21500594-071,dribble-hand-off,FALSE,1,4:17,14.05,201566,Russell Westbrook,201142,Kevin Durant,
23,21500594-080-1,21500594-080,dribble-hand-off,FALSE,1,3:07,15.18,201937,Ricky Rubio,201593,Nikola Pekovic,pick-n-roll
24,21500594-080-2,21500594-080,dribble-hand-off,FALSE,1,3:07,14.82,201593,Nikola Pekovic,201937,Ricky Rubio,pick-n-roll
25,21500594-106-1,21500594-106,dribble-hand-off,TRUE,1,0:55,9.13,203476,Gorgui Dieng,203897,Zach LaVine,
26,21500594-107-1,21500594-107,dribble-hand-off,FALSE,1,0:49,21.16,1626166,Cameron Payne,2555,Nick Collison,
27,21500594-107-2,21500594-107,dribble-hand-off,FALSE,1,0:48,20.55,2555,Nick Collison,1626166,Cameron Payne,
28,21500594-108-1,21500594-108,dribble-hand-off,FALSE,1,0:32,17.96,1889,Andre Miller,203476,Gorgui Dieng,
29,21500594-115-1,21500594-115,dribble-hand-off,FALSE,2,11:44,5.43,203897,Zach LaVine,203476,Gorgui Dieng,
30,21500594-117-1,21500594-117,dribble-hand-off,FALSE,2,11:33,16.53,202683,Enes Kanter,2555,Nick Collison,
31,21500594-117-2,21500594-117,dribble-hand-off,FALSE,2,11:32,15.85,2555,Nick Collison,1626166,Cameron Payne,
32,21500594-119-1,21500594-119,dribble-hand-off,TRUE,2,11:16,21.17,203897,Zach LaVine,203498,Shabazz Muhammad,
33,21500594-126-1,21500594-126,dribble-hand-off,FALSE,2,10:26,15.33,1889,Andre Miller,203476,Gorgui Dieng,
34,21500594-126-2,21500594-126,dribble-hand-off,FALSE,2,10:26,14.65,203476,Gorgui Dieng,1889,Andre Miller,
35,21500594-138-1,21500594-138,dribble-hand-off,FALSE,2,9:35,20.78,2555,Nick Collison,1626166,Cameron Payne,
36,21500594-138-2,21500594-138,dribble-hand-off,TRUE,2,9:27,13.22,1626166,Cameron Payne,2555,Nick Collison,
37,21500594-139-1,21500594-139,dribble-hand-off,FALSE,2,9:10,14.13,1889,Andre Miller,203897,Zach LaVine,
38,21500594-155-1,21500594-155,dribble-hand-off,TRUE,2,8:21,19.23,203897,Zach LaVine,1889,Andre Miller,
39,21500594-155-2,21500594-155,dribble-hand-off,TRUE,2,8:15,13.27,1889,Andre Miller,202357,Nemanja Bjelica,
40,21500594-164-1,21500594-164,dribble-hand-off,FALSE,2,7:42,18.32,1626166,Cameron Payne,201566,Russell Westbrook,
41,21500594-164-2,21500594-164,dribble-hand-off,FALSE,2,7:28,4.57,1626166,Cameron Payne,201586,Serge Ibaka,
42,21500594-190-1,21500594-190,dribble-hand-off,TRUE,2,5:54,12.84,201937,Ricky Rubio,203952,Andrew Wiggins,
43,21500594-204-1,21500594-204,dribble-hand-off,FALSE,2,4:56,20.03,201937,Ricky Rubio,203952,Andrew Wiggins,
44,21500594-207-1,21500594-207,dribble-hand-off,FALSE,2,4:23,11.93,203498,Shabazz Muhammad,1626157,Karl-Anthony Towns,
