,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_a_name,player_b,player_b_name,notes
0,21500615-005-1,21500615-005,dribble-hand-off,FALSE,1,11:35,20.33,203960,JaKarr Sampson,202397,Ish Smith,
1,21500615-014-1,21500615-014,dribble-hand-off,FALSE,1,10:02,18.57,202397,Ish Smith,203496,Robert Covington,
2,21500615-033-1,21500615-033,dribble-hand-off,FALSE,1,8:00,24,1626143,Jahlil Okafor,202397,Ish Smith,
3,21500615-035-1,21500615-035,dribble-hand-off,FALSE,1,7:40,17.1,2546,Carmelo Anthony,204001,Kristaps Porzingis,
4,21500615-037-1,21500615-037,dribble-hand-off,FALSE,1,7:26,18.44,203496,Robert Covington,1626143,Jahlil Okafor,
5,21500615-037-2,21500615-037,dribble-hand-off,FALSE,1,7:24,16.66,1626143,Jahlil Okafor,203457,Nerlens Noel,
6,21500615-037-3,21500615-037,dribble-hand-off,TRUE,1,7:22,14.8,202397,Ish Smith,203960,JaKarr Sampson,
7,21500615-037-4,21500615-037,dribble-hand-off,TRUE,1,7:21,13.81,203960,JaKarr Sampson,1626143,Jahlil Okafor,
8,21500615-037-5,21500615-037,dribble-hand-off,TRUE,1,7:19,11.87,1626143,Jahlil Okafor,202397,Ish Smith,
9,21500615-041-1,21500615-041,dribble-hand-off,FALSE,1,6:51,19.26,202397,Ish Smith,1626143,Jahlil Okafor,
10,21500615-044-1,21500615-044,dribble-hand-off,TRUE,1,6:25,17.21,202397,Ish Smith,1626143,Jahlil Okafor,
11,21500615-045-1,21500615-045,dribble-hand-off,FALSE,1,6:08,14.51,204001,Kristaps Porzingis,2546,Carmelo Anthony,
12,21500615-047-1,21500615-047,dribble-hand-off,FALSE,1,5:52,16.53,202397,Ish Smith,1626143,Jahlil Okafor,
13,21500615-047-2,21500615-047,dribble-hand-off,TRUE,1,5:51,15.81,1626143,Jahlil Okafor,202397,Ish Smith,fake
14,21500615-047-3,21500615-047,dribble-hand-off,FALSE,1,5:51,15.62,202397,Ish Smith,1626143,Jahlil Okafor,
15,21500615-050-1,21500615-050,dribble-hand-off,FALSE,1,5:31,24,201167,Arron Afflalo,2546,Carmelo Anthony,
16,21500615-050-2,21500615-050,dribble-hand-off,FALSE,1,5:26,22.21,204001,Kristaps Porzingis,2546,Carmelo Anthony,
17,21500615-053-1,21500615-053,dribble-hand-off,TRUE,1,4:41,13.76,1626143,Jahlil Okafor,202397,Ish Smith,
18,21500615-066-1,21500615-066,dribble-hand-off,TRUE,1,3:26,13.2,201577,Robin Lopez,201167,Arron Afflalo,
19,21500615-073-1,21500615-073,dribble-hand-off,TRUE,1,3:00,14.56,201577,Robin Lopez,101181,Jose Calderon,
20,21500615-073-2,21500615-073,dribble-hand-off,FALSE,1,2:56,10.72,101181,Jose Calderon,201577,Robin Lopez,
21,21500615-076-1,21500615-076,dribble-hand-off,FALSE,1,2:43,18.76,204456,TJ McConnell,203138,Hollis Thompson,
22,21500615-076-2,21500615-076,dribble-hand-off,FALSE,1,2:35,8.98,204456,TJ McConnell,1626143,Jahlil Okafor,
23,21500615-078-1,21500615-078,dribble-hand-off,FALSE,1,2:22,17.88,2546,Carmelo Anthony,201577,Robin Lopez,
24,21500615-093-1,21500615-093,dribble-hand-off,FALSE,1,1:18,7.93,204456,TJ McConnell,203457,Nerlens Noel,
25,21500615-093-2,21500615-093,dribble-hand-off,TRUE,1,1:14,6.42,203457,Nerlens Noel,204456,TJ McConnell,
26,21500615-104-1,21500615-104,dribble-hand-off,FALSE,2,11:41,18.71,202682,Derrick Williams,204001,Kristaps Porzingis,
27,21500615-109-1,21500615-109,dribble-hand-off,TRUE,2,11:30,19.38,203924,Jerami Grant,204456,TJ McConnell,
28,21500615-113-1,21500615-113,dribble-hand-off,FALSE,2,10:51,12.76,1626158,Richaun Holmes,203138,Hollis Thompson,
29,21500615-119-1,21500615-119,dribble-hand-off,FALSE,2,9:46,12.64,203138,Hollis Thompson,203457,Nerlens Noel,
30,21500615-134-1,21500615-134,dribble-hand-off,TRUE,2,9:21,14.93,203457,Nerlens Noel,203496,Robert Covington,
31,21500615-134-2,21500615-134,dribble-hand-off,TRUE,2,9:20,13.97,203496,Robert Covington,203138,Hollis Thompson,
32,21500615-136-1,21500615-136,dribble-hand-off,TRUE,2,8:35,16.27,203457,Nerlens Noel,204456,TJ McConnell,
33,21500615-141-1,21500615-141,dribble-hand-off,FALSE,2,7:45,8.83,1626170,Jerian Grant,202498,Lance Thomas,
34,21500615-156-1,21500615-156,dribble-hand-off,TRUE,2,6:49,8.55,1626143,Jahlil Okafor,204456,TJ McConnell,fake
35,21500615-156-2,21500615-156,dribble-hand-off,FALSE,2,6:46,6.44,1626143,Jahlil Okafor,203960,JaKarr Sampson,
36,21500615-158-1,21500615-158,dribble-hand-off,FALSE,2,6:26,10.44,201167,Arron Afflalo,201577,Robin Lopez,
37,21500615-159-1,21500615-159,dribble-hand-off,FALSE,2,6:08,9.73,204456,TJ McConnell,1626143,Jahlil Okafor,
38,21500615-166-1,21500615-166,dribble-hand-off,FALSE,2,5:57,8.63,204456,TJ McConnell,1626143,Jahlil Okafor,
39,21500615-167-1,21500615-167,dribble-hand-off,TRUE,2,5:16,10.63,201577,Robin Lopez,202682,Derrick Williams,
40,21500615-167-2,21500615-167,dribble-hand-off,FALSE,2,5:11,6.3,204038,Langston Galloway,2546,Carmelo Anthony,
41,21500615-179-1,21500615-179,dribble-hand-off,FALSE,2,4:04,22.34,201167,Arron Afflalo,101181,Jose Calderon,
42,21500615-179-2,21500615-179,dribble-hand-off,FALSE,2,4:03,21.18,101181,Jose Calderon,204001,Kristaps Porzingis,
43,21500615-179-3,21500615-179,dribble-hand-off,FALSE,2,3:59,17.22,201577,Robin Lopez,201167,Arron Afflalo,
44,21500615-179-4,21500615-179,dribble-hand-off,FALSE,2,3:58,16.74,201167,Arron Afflalo,201577,Robin Lopez,
45,21500615-179-5,21500615-179,dribble-hand-off,FALSE,2,3:58,16.51,201577,Robin Lopez,201167,Arron Afflalo,
46,21500615-181-1,21500615-181,dribble-hand-off,FALSE,2,4:04,22.34,201167,Arron Afflalo,101181,Jose Calderon,
47,21500615-181-2,21500615-181,dribble-hand-off,FALSE,2,4:03,21.18,101181,Jose Calderon,204001,Kristaps Porzingis,
48,21500615-181-3,21500615-181,dribble-hand-off,FALSE,2,3:59,17.22,201577,Robin Lopez,201167,Arron Afflalo,
49,21500615-181-4,21500615-181,dribble-hand-off,FALSE,2,3:58,16.74,201167,Arron Afflalo,201577,Robin Lopez,
50,21500615-181-5,21500615-181,dribble-hand-off,TRUE,2,3:58,16.51,201577,Robin Lopez,201167,Arron Afflalo,Fake
