,candidate_id,event_id,classification_type,classification,period,game_clock,shot_clock,player_a,player_b,
0,21500662-004-1,21500662-004,dribble-hand-off,TRUE,1,11:35,18.05,Damian Lillard,CJ McCollum,
1,21500662-017-1,21500662-017,dribble-hand-off,TRUE,1,9:59,13.11,Damian Lillard,CJ McCollum,
2,21500662-017-2,21500662-017,dribble-hand-off,FALSE,1,9:59,13.07,CJ McCollum,Damian Lillard,
3,21500662-032-1,21500662-032,dribble-hand-off,TRUE,1,9:01,16.02,CJ McCollum,Damian Lillard,
4,21500662-032-2,21500662-032,dribble-hand-off,FALSE,1,9:00,12.63,Damian Lillard,CJ McCollum,
5,21500662-032-3,21500662-032,dribble-hand-off,FALSE,1,8:42,12.9,Noah Vonleh,CJ McCollum,
6,21500662-033-1,21500662-033,dribble-hand-off,TRUE,1,8:31,19.05,Julius Randle,Lou Williams,
7,21500662-046-1,21500662-046,dribble-hand-off,FALSE,1,7:29,16.39,Julius Randle,Jordan Clarkson,
8,21500662-048-1,21500662-048,dribble-hand-off,FALSE,1,7:03,17.69,Jordan Clarkson,Kobe Bryant,
9,21500662-050-1,21500662-050,dribble-hand-off,TRUE,1,6:35,13.56,Roy Hibbert,Julius Randle,
10,21500662-057-1,21500662-057,dribble-hand-off,FALSE,1,5:23,19.76,Jordan Clarkson,Kobe Bryant,
11,21500662-075-1,21500662-075,dribble-hand-off,FALSE,1,4:19,15.18,D'Angelo Russell,Jordan Clarkson,
12,21500662-075-2,21500662-075,dribble-hand-off,FALSE,1,4:10,7.06,D'Angelo Russell,Kobe Bryant,
13,21500662-076-1,21500662-076,dribble-hand-off,FALSE,1,3:47,10.43,Damian Lillard,Mason Plumlee,
14,21500662-076-2,21500662-076,dribble-hand-off,TRUE,1,3:46,9.57,Mason Plumlee,Damian Lillard,FAKE
15,21500662-076-3,21500662-076,dribble-hand-off,FALSE,1,3:46,9.37,Damian Lillard,Mason Plumlee,
16,21500662-076-4,21500662-076,dribble-hand-off,TRUE,1,3:43,6.8,Mason Plumlee,Allen Crabbe,
17,21500662-076-5,21500662-076,dribble-hand-off,FALSE,1,3:41,4.71,Allen Crabbe,Mason Plumlee,
18,21500662-079-1,21500662-079,dribble-hand-off,TRUE,1,2:58,14.4,Roy Hibbert,Jordan Clarkson,
19,21500662-091-1,21500662-091,dribble-hand-off,FALSE,1,1:21,7.53,Mason Plumlee,Gerald Henderson,
20,21500662-108-1,21500662-108,dribble-hand-off,TRUE,1,0:38,11.74,Roy Hibbert,D'Angelo Russell,
21,21500662-118-1,21500662-118,dribble-hand-off,TRUE,2,11:52,15.7,Gerald Henderson,Meyers Leonard,
22,21500662-118-2,21500662-118,dribble-hand-off,FALSE,2,11:52,15.36,Meyers Leonard,CJ McCollum,
23,21500662-121-1,21500662-121,dribble-hand-off,FALSE,2,11:46,8.44,CJ McCollum,Meyers Leonard,
24,21500662-121-2,21500662-121,dribble-hand-off,TRUE,2,11:46,8.1,Meyers Leonard,CJ McCollum,
25,21500662-123-1,21500662-123,dribble-hand-off,FALSE,2,11:11,13.32,Allen Crabbe,CJ McCollum,
